ordinal,guid,name,race,class,old_path,new_path,old_role,new_role,old_pair,new_pair,respec,profession_change
1,50,Latchigedap,6,11,balance,bear,DPS,TANK,Herbalism/Alchemy,Skinning/Leatherworking,1,1
2,75,Fyslil,7,1,fury,protection,DPS,TANK,Skinning/Leatherworking,Mining/Blacksmithing,1,1
3,82,Altasia,5,4,combat,combat,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
4,430,Klimkosh,7,4,assassination,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
5,565,Nessande,1,5,holy,holy,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
6,789,Igordan,9,4,subtlety,subtlety,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
7,877,Ruhsha,8,1,protection,protection,TANK,TANK,Herbalism/Alchemy,Mining/Blacksmithing,0,1
8,1034,Zorran,1,4,combat,combat,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
9,1126,Isolanna,1,8,arcane,arcane,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
10,1129,Kagtein,8,3,beastmastery,beastmastery,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
11,1427,Aleriana,5,5,shadow,shadow,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
12,1492,Flolge,6,7,restoration,restoration,HEALER,HEALER,Skinning/Leatherworking,Herbalism/Alchemy,0,1
13,1710,Ibalt,10,8,fire,fire,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
14,1789,Tarcel,1,1,arms,protection,DPS,TANK,Herbalism/Alchemy,Mining/Blacksmithing,1,1
15,1842,Marte,9,9,affliction,affliction,DPS,DPS,Tailoring/Enchanting,Mining/Jewelcrafting,0,1
16,1864,Buthettlik,7,8,frost,frost,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
17,2062,Heriona,9,8,arcane,arcane,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
18,2075,Togta,8,7,enhancement,enhancement,DPS,DPS,Skinning/Leatherworking,Herbalism/Alchemy,0,1
19,2081,Dolane,10,5,discipline,discipline,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
20,2104,Rehgos,2,1,fury,protection,DPS,TANK,Skinning/Leatherworking,Mining/Blacksmithing,1,1
21,2232,Pastin,9,1,protection,protection,TANK,TANK,Skinning/Leatherworking,Mining/Blacksmithing,0,1
22,2288,Sitesh,7,9,demonology,demonology,DPS,DPS,Tailoring/Enchanting,Mining/Jewelcrafting,0,1
23,2290,Emeretta,5,1,arms,protection,DPS,TANK,Skinning/Leatherworking,Mining/Blacksmithing,1,1
24,2293,Maranu,9,3,marksmanship,marksmanship,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
25,2534,Chellan,6,3,survival,survival,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
26,2543,Jegrormond,3,3,beastmastery,beastmastery,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
27,2573,Ijon,8,5,holy,holy,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
28,2661,Kanlu,3,2,holy,holy,HEALER,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,0,0
29,2770,Yelora,4,5,shadow,shadow,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
30,2935,Shosetim,2,3,marksmanship,marksmanship,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
31,4002,Inojo,8,8,fire,fire,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
32,3125,Gros,2,4,assassination,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
33,3168,Trajin,8,4,subtlety,subtlety,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
34,3285,Etdo,2,9,destruction,destruction,DPS,DPS,Tailoring/Enchanting,Mining/Jewelcrafting,0,1
35,3514,Khomul,3,4,combat,combat,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
36,3572,Eloreni,5,8,frost,frost,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
37,3700,Hodelin,10,2,protection,protection,TANK,TANK,Herbalism/Alchemy,Herbalism/Alchemy,0,0
38,3725,Camer,1,9,affliction,affliction,DPS,DPS,Tailoring/Enchanting,Mining/Jewelcrafting,0,1
39,3743,Anarianna,4,4,assassination,assassination,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
40,3959,Ubochmee,6,1,fury,protection,DPS,TANK,Herbalism/Alchemy,Mining/Blacksmithing,1,1
41,3970,Gerolanton,1,3,survival,survival,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
42,4068,Gwendolyn,1,2,retribution,retribution,DPS,DPS,Tailoring/Enchanting,Herbalism/Alchemy,0,1
43,4136,Kinlania,4,3,beastmastery,beastmastery,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
44,4140,Rollotheo,10,1,protection,protection,TANK,TANK,Skinning/Leatherworking,Mining/Blacksmithing,0,1
45,4163,Irlyia,4,11,feral,bear,TANK,TANK,Herbalism/Alchemy,Skinning/Leatherworking,1,1
46,4253,Thorkogar,2,7,elemental,elemental,DPS,DPS,Skinning/Leatherworking,Herbalism/Alchemy,0,1
47,4364,Twynrosen,3,5,discipline,discipline,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
48,4375,Orrathugg,3,1,arms,protection,DPS,TANK,Skinning/Leatherworking,Mining/Blacksmithing,1,1
49,4439,Hanta,10,3,marksmanship,marksmanship,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
50,4478,Seliano,5,9,demonology,demonology,DPS,DPS,Tailoring/Enchanting,Mining/Jewelcrafting,0,1
51,6,Shanie,10,2,holy,holy,HEALER,HEALER,Tailoring/Enchanting,Herbalism/Alchemy,0,1
52,7,Alerielah,10,4,subtlety,subtlety,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
53,18,Alenon,4,1,fury,protection,DPS,TANK,Herbalism/Alchemy,Mining/Blacksmithing,1,1
54,23,Dedas,4,4,combat,combat,DPS,DPS,Skinning/Leatherworking,Skinning/Leatherworking,0,0
55,27,Nilenata,10,5,holy,holy,HEALER,HEALER,Tailoring/Enchanting,Tailoring/Enchanting,0,0
56,34,Nelline,1,5,shadow,shadow,DPS,DPS,Tailoring/Enchanting,Tailoring/Enchanting,0,0
57,38,Figdredi,2,1,protection,protection,TANK,TANK,Skinning/Leatherworking,Mining/Blacksmithing,0,1
58,57,Kramdahmak,3,2,protection,protection,TANK,TANK,Herbalism/Alchemy,Herbalism/Alchemy,0,0
59,92,Trialania,4,3,survival,survival,DPS,DPS,Skinning/Leatherworking,Mining/Engineering,0,1
60,98,Mudso,6,7,restoration,restoration,HEALER,HEALER,Herbalism/Alchemy,Herbalism/Alchemy,0,0
