ordinal,guid,account,name,race,class,gender,talent_path,role,profession_pair,selection_reason,source_candidate_hash
1,50,7,Latchigedap,6,11,0,bear,TANK,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
2,75,292,Fyslil,7,1,1,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
3,82,299,Altasia,5,4,1,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
4,430,29,Klimkosh,7,4,0,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
5,565,500,Nessande,1,5,1,holy,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
6,789,52,Igordan,9,4,0,subtlety,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
7,877,283,Ruhsha,8,1,0,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
8,1034,66,Zorran,1,4,0,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
9,1126,290,Isolanna,1,8,1,arcane,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
10,1129,290,Kagtein,8,3,0,beastmastery,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
11,1427,453,Aleriana,5,5,1,shadow,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
12,1492,92,Flolge,6,7,1,restoration,HEALER,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
13,1710,455,Ibalt,10,8,0,fire,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
14,1789,109,Tarcel,1,1,0,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
15,1842,112,Marte,9,9,1,affliction,DPS,Mining/Jewelcrafting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
16,1864,311,Buthettlik,7,8,0,frost,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
17,2062,125,Heriona,9,8,1,arcane,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
18,2075,317,Togta,8,7,0,enhancement,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
19,2081,126,Dolane,10,5,1,discipline,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
20,2104,127,Rehgos,2,1,1,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
21,2232,414,Pastin,9,1,0,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
22,2288,138,Sitesh,7,9,1,demonology,DPS,Mining/Jewelcrafting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
23,2290,138,Emeretta,5,1,1,protection,TANK,Mining/Blacksmithing,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
24,2293,138,Maranu,9,3,1,marksmanship,DPS,Mining/Engineering,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
