ordinal,guid,account,name,race,class,gender,talent_path,role,profession_pair,selection_reason,source_candidate_hash
1,50,7,Latchigedap,6,11,0,balance,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
2,75,292,Fyslil,7,1,1,fury,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
3,82,299,Altasia,5,4,1,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
4,430,29,Klimkosh,7,4,0,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
5,565,500,Nessande,1,5,1,holy,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
6,789,52,Igordan,9,4,0,subtlety,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
7,877,283,Ruhsha,8,1,0,protection,TANK,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
8,1034,66,Zorran,1,4,0,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
9,1126,290,Isolanna,1,8,1,arcane,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
10,1129,290,Kagtein,8,3,0,beastmastery,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
11,1427,453,Aleriana,5,5,1,shadow,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
12,1492,92,Flolge,6,7,1,restoration,HEALER,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
13,1710,455,Ibalt,10,8,0,fire,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
14,1789,109,Tarcel,1,1,0,arms,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
15,1842,112,Marte,9,9,1,affliction,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
16,1864,311,Buthettlik,7,8,0,frost,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
17,2062,125,Heriona,9,8,1,arcane,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
18,2075,317,Togta,8,7,0,enhancement,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
19,2081,126,Dolane,10,5,1,discipline,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
20,2104,127,Rehgos,2,1,1,fury,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
21,2232,414,Pastin,9,1,0,protection,TANK,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
22,2288,138,Sitesh,7,9,1,demonology,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
23,2290,138,Emeretta,5,1,1,arms,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
24,2293,138,Maranu,9,3,1,marksmanship,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
25,2534,152,Chellan,6,3,1,survival,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
26,2543,461,Jegrormond,3,3,0,beastmastery,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
27,2573,154,Ijon,8,5,1,holy,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
28,2661,159,Kanlu,3,2,1,holy,HEALER,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
29,2770,165,Yelora,4,5,1,shadow,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
30,2935,175,Shosetim,2,3,1,marksmanship,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
31,4002,372,Inojo,8,8,0,fire,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
32,3125,347,Gros,2,4,0,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
33,3168,348,Trajin,8,4,0,subtlety,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
34,3285,429,Etdo,2,9,1,destruction,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
35,3514,358,Khomul,3,4,0,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
36,3572,211,Eloreni,5,8,1,frost,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
37,3700,435,Hodelin,10,2,0,protection,TANK,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
38,3725,364,Camer,1,9,0,affliction,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
39,3743,495,Anarianna,4,4,1,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
40,3959,233,Ubochmee,6,1,0,fury,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
41,3970,234,Gerolanton,1,3,0,survival,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
42,4068,239,Gwendolyn,1,2,1,retribution,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
43,4136,244,Kinlania,4,3,1,beastmastery,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
44,4140,244,Rollotheo,10,1,0,protection,TANK,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
45,4163,488,Irlyia,4,11,1,feral,TANK,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
46,4253,379,Thorkogar,2,7,0,elemental,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
47,4364,382,Twynrosen,3,5,1,discipline,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
48,4375,474,Orrathugg,3,1,0,arms,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
49,4439,445,Hanta,10,3,1,marksmanship,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
50,4478,489,Seliano,5,9,0,demonology,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
51,6,4,Shanie,10,2,1,holy,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
52,7,4,Alerielah,10,4,1,subtlety,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
53,18,30,Alenon,4,1,0,fury,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
54,23,273,Dedas,4,4,0,combat,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
55,27,273,Nilenata,10,5,1,holy,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
56,34,6,Nelline,1,5,1,shadow,DPS,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
57,38,47,Figdredi,2,1,1,protection,TANK,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
58,57,282,Kramdahmak,3,2,0,protection,TANK,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
59,92,94,Trialania,4,3,1,survival,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
60,98,94,Mudso,6,7,1,restoration,HEALER,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
61,117,11,Briluknald,2,1,0,arms,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
62,119,114,Thrigmor,2,7,0,enhancement,DPS,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
63,148,13,Rhazkoz,8,7,0,elemental,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
64,151,13,Emaleath,4,11,0,restoration,HEALER,Herbalism/Alchemy,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
65,153,13,Teryl,1,4,1,assassination,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
66,175,166,Griram,2,3,1,beastmastery,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
67,291,446,Zavga,2,3,0,marksmanship,DPS,Skinning/Leatherworking,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
68,449,270,Thortin,1,5,0,discipline,HEALER,Tailoring/Enchanting,prefix_identity; missing_talent_assigned_by_class_deficit_then_guid,
69,52,7,Rinne,1,1,1,fury,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
70,26,273,Artemis,1,3,1,survival,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
71,204,16,Ratass,3,4,1,subtlety,DPS,Skinning/Leatherworking,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
72,31,6,Kelrus,4,5,0,holy,HEALER,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
73,5,4,Wagismi,6,7,0,restoration,HEALER,Herbalism/Alchemy,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
74,2,4,Gikiz,7,8,1,arcane,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
75,206,16,Oresto,1,2,0,retribution,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
76,41,47,Kaille,5,9,1,destruction,DPS,Tailoring/Enchanting,"candidate_deficit(class,race,gender,talent); guid_tiebreak",397B47376F3F1E6972F9104134424ACEAB00D4DD6936566CE2459D0A6D699FB0
