warning_class	source_path	line	column	emission_count	decision	owner	follow_up	message
-Wattributes	src/scripts/dungeons/scarlet_citadel/boss_ardaeus.hpp	112	23	1	FIX	twow-core	core-nodiscard-placement	attribute ignored
-Wattributes	src/scripts/dungeons/scarlet_citadel/boss_daelus.hpp	91	23	1	FIX	twow-core	core-nodiscard-placement	attribute ignored
-Wattributes	src/scripts/dungeons/scarlet_citadel/boss_mariella.hpp	100	23	1	FIX	twow-core	core-nodiscard-placement	attribute ignored
-Wattributes	src/scripts/dungeons/scarlet_citadel/boss_mariella.hpp	158	23	1	FIX	twow-core	core-nodiscard-placement	attribute ignored
-Wdeprecated-declarations	dep/include/rapidjson/document.h	102	19	9	SUPPRESS_WITH_REASON	twow-core+twow-repo-consumers	target-scoped-SYSTEM-includes	'template<class _Category, class _Tp, class _Distance, class _Pointer, class _Reference> struct std::iterator' is deprecated
-Wdeprecated-declarations	dep/include/rapidjson/document.h	110	18	9	SUPPRESS_WITH_REASON	twow-core+twow-repo-consumers	target-scoped-SYSTEM-includes	'template<class _Category, class _Tp, class _Distance, class _Pointer, class _Reference> struct std::iterator' is deprecated
-Wdeprecated-declarations	dep/include/utf8cpp/utf8/checked.h	260	34	2	SUPPRESS_WITH_REASON	twow-core+twow-repo-consumers	target-scoped-SYSTEM-includes	'template<class _Category, class _Tp, class _Distance, class _Pointer, class _Reference> struct std::iterator' is deprecated
-Wdeprecated-declarations	dep/include/utf8cpp/utf8/unchecked.h	179	40	2	SUPPRESS_WITH_REASON	twow-core+twow-repo-consumers	target-scoped-SYSTEM-includes	'template<class _Category, class _Tp, class _Distance, class _Pointer, class _Reference> struct std::iterator' is deprecated
-Wdeprecated-declarations	src/game/Anticheat/Warden/WardenMac.cpp	76	13	1	FIX	twow-core	core-openssl-md5-api	'int MD5_Init(MD5_CTX*)' is deprecated: Since OpenSSL 3.0
-Wdeprecated-declarations	src/game/Anticheat/Warden/WardenMac.cpp	77	15	1	FIX	twow-core	core-openssl-md5-api	'int MD5_Update(MD5_CTX*, const void*, size_t)' is deprecated: Since OpenSSL 3.0
-Wdeprecated-declarations	src/game/Anticheat/Warden/WardenMac.cpp	78	14	1	FIX	twow-core	core-openssl-md5-api	'int MD5_Final(unsigned char*, MD5_CTX*)' is deprecated: Since OpenSSL 3.0
-Wdeprecated-declarations	src/game/Anticheat/Warden/WardenModule.cpp	47	17	1	FIX	twow-core	core-openssl-md5-api	'int MD5_Init(MD5_CTX*)' is deprecated: Since OpenSSL 3.0
-Wdeprecated-declarations	src/game/Anticheat/Warden/WardenModule.cpp	48	19	1	FIX	twow-core	core-openssl-md5-api	'int MD5_Update(MD5_CTX*, const void*, size_t)' is deprecated: Since OpenSSL 3.0
