function_name	start_line	end_line	extent_sha256
Get-Sha256	129	135	065EC0AA2D2025A6CFD19C45AFEEDB1C1D200A6A039B03760CE1974A219D6BF8
Assert-Hash	145	151	D77A22882A5E8631C56C5F2650B9DA82C15E73F2E0C14E4FBEF4FCE35B8238D9
Assert-Administrator	187	193	00F5777B9DD3A4FCFEFDC75F09840E2E146F5BDC56668C2A39351F79BC333D77
Get-NormalizedPath	195	198	BFCCD44201EDD9CE8932234B5A6E1FE47E888F6A8C004A0643292FA59B7455BD
Get-ProcessPath	200	203	604B01443FB621021301035EDFA63A28F540F78F52D63D2DDE06D94A7F4C46E8
Get-ProcessCandidates	205	213	B02D90459F2F7ADEE993AD00449F36F85750D9D4BC671A8EEB8117E5E9A6499C
Test-PortOpen	215	226	2EB1FE94B062C2A6AD14396486B5577D3349D09CBEE1FB52E11C1691711D9EFA
Get-PortOwnerPids	228	234	C796327B613AE5BD1DF84EF4774182A78C52970B6ADFE2565770FBDE80410B21
Set-LaunchAttempt	270	279	05DF9A3D31FE5921FEF0D00ABDD0D6F937732D134A97A84A965299872E5E5575
Set-LauncherPid	281	284	39CC78A6F1009E3E1A348FF6E244194B6C3E400AD641DF57521B6292F42925A5
Get-VerifiedOwnedProcess	286	297	F4BC8E7D60B69F78C2F729116609CD8B1A3746074C20B0230D00764C053AAFF4
Try-AdoptLaunchedProcess	299	322	BB13DC24F29EA3F8E86EB793274B592C24E9751D9F3EAE6E331008FD02BDEF09
Wait-ForOwnedProcess	324	335	18EB3CA84F4A82F6792732D5C976177E1D45832746CC5A30CA2074A2A090B525
Wait-ForProcessExit	337	350	AD5B5FBB74E969CB3A4699351452F9460DB3536319A68510D158F30ED473B27F
Assert-DatabaseProgramFiles	352	356	F1DD0DA7C6DF0C4F1054C13E80C914E2769BB8616B89566F42715E053C894B49
Assert-RestoredDatabaseConfiguration	358	360	0B428E37832E5C76EE0CEAA76453AD2322834196BE990177BD84A35B7B3DC595
Resolve-MariaDbClientResult	407	434	59301E4D88015C1ECBD54503B899A852FC139336D7444A7180718723B65360A7
ConvertTo-WindowsCommandLineArgument	436	469	21F2B1931BEBE9292B8A249FBD2C448CA315DE9A5F12B9121464DB4D370767C6
Invoke-ProcessWithCapturedOutput	471	502	B810BEDA4F3512CB367537B93896A5C05B2B0DD344249CA1406F5D8A9A8E7CBD
Invoke-MariaDb	504	514	A00B500ADE8B2E6DD78CC307B0A6FED5A9D89C9F5A8A2669732544FFC2815042
Assert-SingleValue	546	552	0F23536EFBA1637003938AD450B3067B4CFF5AB14EF6D4D4E7FD24D9756247EF
Assert-DatabaseIdentity	554	556	703D0ACD2FF0DC1FDC40FF603287B74F87593C379EEAB6C33FCB6458749EE534
Assert-DatabasePortOwnership	1231	1238	D8C18E2824522439A0BCFC0EDFEF73ED95CE38CFC73161506D272662CA6B7325
Wait-ForDatabaseReady	1240	1271	169ED3AC91E2464F8283D007DCB1F9A5FFB6FBA217194391122B0188EB843013
Assert-ReviewedDatabaseConfiguration	1273	1282	044DEA29E19C2B6E7EE08C87B990A73471967F51487B15227AABD409B3ACD1B2
Stop-OwnedDatabase	1304	1318	62F2279991F4BE7DA1C04014263261EB6C0C6E18CFCA4A3B1BAAFE96AE929755
Start-ReviewedDatabase	1320	1359	F2116D88F7111CE958A5170018DEC5FCC6BC79D2BB3E659219BBA645DC497B44
