"item_id","item_name","mount_spell_id","mount_spell_name","required_level","required_skill","required_skill_rank","buy_price","sell_price","allowable_race","allowable_class","mounted_speed_percent","vendor_entries"
"823","Deprecated Horse Summoning (Mount)","458","Brown Horse","1","0","0","1","1","-1","-1","60","NULL"
"842","Deprecated Wolf Summoning (Mount)","459","Gray Wolf","1","0","0","1","1","-1","-1","60","NULL"
"875","Brown Horse Summoning","458","Brown Horse","1","0","0","1","1","-1","-1","60","NULL"
"901","Deptecated White Stallion Summoning (Mount)","468","White Stallion","1","0","0","1","1","-1","-1","60","NULL"
"902","Deprecated Palomino Summoning (Mount)","471","Palamino Stallion","1","0","0","1","1","-1","-1","60","NULL"
"903","Deprecated Pinto Summoning (Mount)","472","Pinto Horse","1","0","0","1","1","-1","-1","60","NULL"
"1042","Deprecated Summon Winter Wolf (Mount)","581","Winter Wolf","1","0","0","1","1","-1","-1","60","NULL"
"1043","Deprecated Summon Redwolf (Mount)","580","Large Timber Wolf","1","0","0","1","1","-1","-1","60","NULL"
"1044","Deprecated Summon Brown Wolf (Mount)","579","Red Wolf","1","0","0","1","1","-1","-1","100","NULL"
"1122","Deprecated Amulet of the White Stallion","468","White Stallion","40","0","0","100000","25000","415","-1","60","NULL"
"1123","Deprecated Amulet of the Pinto","472","Pinto Horse","40","0","0","100000","25000","415","-1","60","NULL"
"1124","Deprecated Amulet of the Palomino","471","Palamino Stallion","40","0","0","100000","25000","415","-1","60","NULL"
"14062","Kodo Mount","18363","Great Chieftain's Kodo","40","0","0","800000","0","-1","-1","60","NULL"
"18063","Test Epic Mount","17481","Rivendare's Deathcharger","60","0","0","1000000","250000","-1","-1","100","NULL"
"20221","Foror's Fabled Steed","24576","Chromatic Mount","60","0","0","10000000","0","-1","-1","100","NULL"
"21736","Riding Gryphon Reins","3363","Summon Riding Gryphon","60","0","0","1000000","250000","-1","-1","NULL","NULL"
"16338","Knight-Lieutenant's Steed","458","Brown Horse","40","148","1","400000","0","223","-1","60","NULL"
"16343","Blood Guard's Mount","6654","Brown Wolf","40","149","1","400000","0","223","-1","60","NULL"
"12330","Horn of the Red Wolf","16080","Red Wolf","60","149","1","10000000","0","146","-1","100","NULL"
"16344","Lieutenant General's Mount","16081","Arctic Wolf","60","149","1","5000000","0","223","-1","100","NULL"
"1133","Horn of the Winter Wolf","581","Winter Wolf","40","762","75","100000","0","511","-1","60","NULL"
"2415","White Stallion","468","White Stallion","40","762","75","100000","0","511","-1","60","NULL"
"5874","Harness: Black Ram","6896","Black Ram","40","762","75","100000","0","511","-1","60","NULL"
"5875","Harness: Blue Ram","6897","Blue Ram","40","762","75","100000","0","511","-1","60","NULL"
"8583","Horn of the Skeletal Mount","8980","Skeletal Horse","40","762","75","100000","0","511","-1","60","NULL"
"8590","Old Whistle of the Obsidian Raptor","10798","Obsidian Raptor","40","762","75","100000","0","511","-1","60","NULL"
"8627","Reins of the Nightsaber","10787","Panther","40","762","75","100000","0","511","-1","60","NULL"
"8628","Reins of the Spotted Nightsaber","10792","Spotted Panther","40","762","75","100000","0","77","-1","60","NULL"
"8633","Reins of the Leopard","10788","Leopard","40","762","75","100000","0","511","-1","60","NULL"
"8586","Whistle of the Mottled Red Raptor","16084","Mottled Red Raptor","60","762","150","1000000","0","146","-1","100","NULL"
"13317","Whistle of the Ivory Raptor","17450","Ivory Raptor","60","762","150","1000000","0","146","-1","100","NULL"
