"skill_id","skill_name_en","skill_name_de","classification","learning_spell_id","learning_spell_name_en","rank_step","rank_name","spell_level","base_level","trainer_reqlevel_min","trainer_reqlevel_max","trainer_reqskill_min","trainer_reqskill_max","trainer_reqskillvalue_min","trainer_reqskillvalue_max","trainer_cost_min_copper","trainer_cost_max_copper","trainer_offer_count","trainer_sources"
"129","First Aid","Erste Hilfe","SECONDARY","3279","Apprentice First Aid","1","Apprentice","0","0","0","0","0","0","0","0","100","100","16","npc_trainer"
"129","First Aid","Erste Hilfe","SECONDARY","3280","Journeyman First Aid","2","Journeyman","0","0","0","0","129","129","50","50","500","500","15","npc_trainer"
"129","First Aid","Erste Hilfe","SECONDARY","7925","Expert First Aid","3","Expert","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"129","First Aid","Erste Hilfe","SECONDARY","19903","Expert First Aid","3","Expert","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"129","First Aid","Erste Hilfe","SECONDARY","10847","Artisan First Aid","4","Artisan","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"129","First Aid","Erste Hilfe","SECONDARY","19902","Artisan First Aid","4","Artisan","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"142","Survival","Überlebenskunst","SECONDARY","1290","Cooking Fire","1","Apprentice","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"142","Survival","Überlebenskunst","SECONDARY","46051","Apprentice Survivalist","1","Apprentice","0","0","1","1","0","0","0","0","100","100","15","npc_trainer"
"142","Survival","Überlebenskunst","SECONDARY","7361","Bright Campfire","2","Journeyman","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"142","Survival","Überlebenskunst","SECONDARY","46052","Journeyman Survivalist","2","Journeyman","0","0","10","10","142","142","50","50","500","500","15","npc_trainer"
"142","Survival","Überlebenskunst","SECONDARY","46055","Expert Survivalist","3","Expert","0","0","20","20","142","142","125","125","250","250","2","npc_trainer"
"142","Survival","Überlebenskunst","SECONDARY","46057","Artisan Survivalist","4","Artisan","0","0","35","35","142","142","200","200","50000","50000","1","npc_trainer"
"164","Blacksmithing","Schmiedekunst","PRIMARY","2020","Apprentice Blacksmith","1","Apprentice","0","0","0","0","0","0","0","0","9","9","20","npc_trainer"
"164","Blacksmithing","Schmiedekunst","PRIMARY","2021","Journeyman Blacksmith","2","Journeyman","0","0","0","0","164","164","50","50","450","450","13","npc_trainer"
"164","Blacksmithing","Schmiedekunst","PRIMARY","3539","Expert Blacksmith","3","Expert","0","0","0","0","164","164","125","125","4500","4500","5","npc_trainer"
"164","Blacksmithing","Schmiedekunst","PRIMARY","9786","Artisan Blacksmith","4","Artisan","0","0","0","0","164","164","200","200","50000","50000","2","npc_trainer"
"165","Leatherworking","Lederverarbeitung","PRIMARY","2155","Apprentice Leatherworking","1","Apprentice","0","0","0","0","0","0","0","0","10","10","21","npc_trainer"
"165","Leatherworking","Lederverarbeitung","PRIMARY","2154","Journeyman Leatherworking","2","Journeyman","0","0","0","0","165","165","50","50","500","500","19","npc_trainer"
"165","Leatherworking","Lederverarbeitung","PRIMARY","3812","Expert Leatherworking","3","Expert","0","0","0","0","165","165","125","125","5000","5000","4","npc_trainer"
"165","Leatherworking","Lederverarbeitung","PRIMARY","10663","Artisan Leatherworking","4","Artisan","0","0","0","0","165","165","200","200","50000","50000","5","npc_trainer"
"171","Alchemy","Alchimie","PRIMARY","2275","Apprentice Alchemist","1","Apprentice","0","0","0","5","0","0","0","0","10","10","29","npc_trainer"
"171","Alchemy","Alchimie","PRIMARY","2280","Journeyman Alchemist","2","Journeyman","0","0","0","0","171","171","50","50","450","500","16","npc_trainer"
"171","Alchemy","Alchimie","PRIMARY","3465","Expert Alchemist","3","Expert","0","0","0","0","171","171","125","125","5000","5000","5","npc_trainer"
"171","Alchemy","Alchimie","PRIMARY","11612","Artisan Alchemist","4","Artisan","0","0","0","0","171","171","200","200","45000","45000","3","npc_trainer"
"182","Herbalism","Kräuterkunde","PRIMARY","2372","Apprentice Herbalist","1","Apprentice","0","0","0","0","0","0","0","0","10","10","25","npc_trainer"
"182","Herbalism","Kräuterkunde","PRIMARY","2373","Journeyman Herbalist","2","Journeyman","0","0","0","0","182","182","50","50","500","500","23","npc_trainer"
"182","Herbalism","Kräuterkunde","PRIMARY","3571","Expert Herbalist","3","Expert","0","0","0","0","182","182","125","125","5000","5000","23","npc_trainer"
"182","Herbalism","Kräuterkunde","PRIMARY","11994","Artisan Herbalist","4","Artisan","0","0","0","0","182","182","200","200","50000","50000","23","npc_trainer"
"185","Cooking","Kochkunst","SECONDARY","2551","Apprentice Cook","1","Apprentice","0","0","0","5","0","0","0","0","100","100","23","npc_trainer"
"185","Cooking","Kochkunst","SECONDARY","3412","Journeyman Cook","2","Journeyman","0","0","0","10","185","185","50","50","500","500","22","npc_trainer"
"185","Cooking","Kochkunst","SECONDARY","2552","Expert Cook","3","Expert","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"185","Cooking","Kochkunst","SECONDARY","19886","Expert Cook","3","Expert","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"185","Cooking","Kochkunst","SECONDARY","18261","Artisan Cook","4","Artisan","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"185","Cooking","Kochkunst","SECONDARY","19887","Artisan Cook","4","Artisan","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL"
"186","Mining","Bergbau","PRIMARY","2581","Apprentice Miner","1","Apprentice","0","0","0","0","0","0","0","0","10","10","15","npc_trainer"
"186","Mining","Bergbau","PRIMARY","2582","Journeyman Miner","2","Journeyman","0","0","0","10","186","186","50","50","500","500","14","npc_trainer"
"186","Mining","Bergbau","PRIMARY","3568","Expert Miner","3","Expert","0","0","0","20","186","186","125","125","4500","4500","14","npc_trainer"
"186","Mining","Bergbau","PRIMARY","10249","Artisan Miner","4","Artisan","0","0","0","35","186","186","200","200","50000","50000","14","npc_trainer"
"197","Tailoring","Schneiderei","PRIMARY","3911","Apprentice Tailor","1","Apprentice","0","0","0","0","0","0","0","0","10","10","23","npc_trainer"
"197","Tailoring","Schneiderei","PRIMARY","3912","Journeyman Tailor","2","Journeyman","0","0","0","0","197","197","50","50","450","450","15","npc_trainer"
"197","Tailoring","Schneiderei","PRIMARY","3913","Expert Tailor","3","Expert","0","0","0","0","197","197","125","125","4500","4500","6","npc_trainer"
"197","Tailoring","Schneiderei","PRIMARY","12181","Artisan Tailor","4","Artisan","0","0","0","0","197","197","200","200","50000","50000","4","npc_trainer"
"202","Engineering","Ingenieurskunst","PRIMARY","4039","Apprentice Engineer","1","Apprentice","0","0","0","5","0","0","0","0","10","10","21","npc_trainer"
"202","Engineering","Ingenieurskunst","PRIMARY","4040","Journeyman Engineer","2","Journeyman","0","0","0","0","202","202","50","50","450","450","9","npc_trainer"
"202","Engineering","Ingenieurskunst","PRIMARY","4041","Expert Engineer","3","Expert","0","0","0","0","202","202","125","125","4500","4500","4","npc_trainer"
"202","Engineering","Ingenieurskunst","PRIMARY","12657","Artisan Engineer","4","Artisan","0","0","0","0","202","202","200","200","45000","45000","2","npc_trainer"
