"account_type","skill","skill_name","character_count","min_value","max_value","min_cap","max_cap"
"PLAYER","129","First Aid","1","1","1","75","75"
"PLAYER","142","Survival","1","16","16","75","75"
"PLAYER","185","Cooking","1","1","1","75","75"
"PLAYER","186","Mining","1","43","43","75","75"
"RNDBOT","129","First Aid","5","1","7","75","75"
"RNDBOT","142","Survival","4","1","1","75","75"
"RNDBOT","164","Blacksmithing","1","1","1","75","75"
"RNDBOT","165","Leatherworking","1","1","1","75","75"
"RNDBOT","171","Alchemy","2","1","1","75","75"
"RNDBOT","182","Herbalism","5","1","4","75","75"
"RNDBOT","185","Cooking","3","1","1","75","75"
"RNDBOT","186","Mining","3","1","10","75","75"
"RNDBOT","356","Fishing","4","1","1","75","75"
"RNDBOT","393","Skinning","1","1","1","75","75"
