"source_table","trainer_key","creature_entry","npc_name","faction","trainer_class","trainer_race","trainer_spell","spell_name_en","skill_id","reqlevel","reqskill","reqskillvalue","spellcost"
"npc_trainer","2326","2326","Thamner Pol","55","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","2327","2327","Shaina Fuller","12","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","2329","2329","Michelle Belle","12","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","2798","2798","Pand Stonebinder","104","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","3181","3181","Fremal Doohickey","875","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","3373","3373","Arnok","29","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","4211","4211","Dannelor","80","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","4591","4591","Mary Edras","68","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","5150","5150","Nissa Firestone","55","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","5759","5759","Nurse Neela","68","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","5939","5939","Vira Younghoof","104","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","5943","5943","Rawrk","29","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","6094","6094","Byancie","80","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","61726","61726","Kana Togglebend","1682","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","61833","61833","Aelira Dawnhand","371","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","91743","91743","Leyna Dayton","68","0","0","3279","Apprentice First Aid","129","0","0","0","100"
"npc_trainer","2326","2326","Thamner Pol","55","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","2327","2327","Shaina Fuller","12","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","2329","2329","Michelle Belle","12","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","2798","2798","Pand Stonebinder","104","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","3181","3181","Fremal Doohickey","875","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","3373","3373","Arnok","29","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","4211","4211","Dannelor","80","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","4591","4591","Mary Edras","68","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","5150","5150","Nissa Firestone","55","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","5759","5759","Nurse Neela","68","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","5939","5939","Vira Younghoof","104","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","5943","5943","Rawrk","29","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","6094","6094","Byancie","80","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","61726","61726","Kana Togglebend","1682","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","91743","91743","Leyna Dayton","68","0","0","3280","Journeyman First Aid","129","0","129","50","500"
"npc_trainer","50070","50070","Rufus Hardwick","35","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62950","62950","Nallaeth","80","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62951","62951","Krennan Wildberry","12","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62954","62954","Eissinn Cragbelly","55","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62956","62956","Brakan","29","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62959","62959","Nasnan Hillcreek","104","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62961","62961","Cynthessa Grimblood","68","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62962","62962","Hellador Swiftluck","371","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62963","62963","Feebeld","1682","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62964","62964","Thonk","29","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62965","62965","Filadon Shieldarrow","80","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62966","62966","Karolina Cloven","68","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","62967","62967","Dyrohrinn Boulderhorn","55","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","63071","63071","Swampwalker Krug","29","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
"npc_trainer","63072","63072","Nerean Stagtree","80","0","0","46051","Apprentice Survivalist","142","1","0","0","100"
