"trainer_template","creature_entry","npc_name","faction","trainer_race","trainer_class","trainer_spell","spell_name_en","reqlevel","reqskill","reqskillvalue","spellcost"
"1","3690","Kar Stormsinger","104","6","0","33389","Apprentice Riding","40","0","0","900000"
"1","4732","Randal Hunter","12","1","0","33389","Apprentice Riding","40","0","0","900000"
"1","4752","Kildar","29","2","0","33389","Apprentice Riding","40","0","0","900000"
"1","4753","Jartsam","80","4","0","33389","Apprentice Riding","40","0","0","900000"
"1","4772","Ultham Ironhorn","55","3","0","33389","Apprentice Riding","40","0","0","900000"
"1","4773","Velma Warnam","68","5","0","33389","Apprentice Riding","40","0","0","900000"
"1","7953","Xar'Ti","126","8","0","33389","Apprentice Riding","40","0","0","900000"
"1","7954","Binjy Featherwhistle","875","7","0","33389","Apprentice Riding","40","0","0","900000"
"1","80136","Gaxx Speedcrank","1682","9","0","33389","Apprentice Riding","40","0","0","900000"
"1","80452","Chaddus Suncarrier","371","10","0","33389","Apprentice Riding","40","0","0","900000"
"1","3690","Kar Stormsinger","104","6","0","33392","Journeyman Riding","60","762","0","9000000"
"1","4732","Randal Hunter","12","1","0","33392","Journeyman Riding","60","762","0","9000000"
"1","4752","Kildar","29","2","0","33392","Journeyman Riding","60","762","0","9000000"
"1","4753","Jartsam","80","4","0","33392","Journeyman Riding","60","762","0","9000000"
"1","4772","Ultham Ironhorn","55","3","0","33392","Journeyman Riding","60","762","0","9000000"
"1","4773","Velma Warnam","68","5","0","33392","Journeyman Riding","60","762","0","9000000"
"1","7953","Xar'Ti","126","8","0","33392","Journeyman Riding","60","762","0","9000000"
"1","7954","Binjy Featherwhistle","875","7","0","33392","Journeyman Riding","60","762","0","9000000"
"1","80136","Gaxx Speedcrank","1682","9","0","33392","Journeyman Riding","60","762","0","9000000"
"1","80452","Chaddus Suncarrier","371","10","0","33392","Journeyman Riding","60","762","0","9000000"
