"account_type","guid","race","class","level","primary_profession_count","primary_professions","secondary_profession_count","secondary_professions","riding_skill"
"RNDBOT","22430","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22431","3","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22432","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22433","2","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22434","3","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22435","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22436","9","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22437","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22438","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22439","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22440","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22441","2","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22442","9","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22443","2","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22444","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22445","7","9","1","0","NULL","0","NULL","NULL"
"RNDBOT","22446","1","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22447","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22448","1","1","5","0","NULL","0","NULL","NULL"
"RNDBOT","22449","10","1","6","0","NULL","0","NULL","NULL"
"RNDBOT","22450","9","9","6","0","NULL","0","NULL","NULL"
"RNDBOT","22451","9","9","2","0","NULL","0","NULL","NULL"
"RNDBOT","22452","8","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22453","10","2","7","0","NULL","0","NULL","NULL"
"RNDBOT","22454","1","9","5","0","NULL","0","NULL","NULL"
"RNDBOT","22455","3","1","4","0","NULL","0","NULL","NULL"
"RNDBOT","22456","10","2","7","0","NULL","0","NULL","NULL"
"RNDBOT","22457","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22458","10","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22459","10","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22460","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22461","1","2","1","0","NULL","0","NULL","NULL"
"RNDBOT","22462","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22463","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22464","10","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22465","10","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22466","10","5","6","0","NULL","0","NULL","NULL"
"RNDBOT","22467","3","2","7","0","NULL","0","NULL","NULL"
"RNDBOT","22468","10","2","4","0","NULL","0","NULL","NULL"
"RNDBOT","22469","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22470","9","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22471","10","3","2","0","NULL","0","NULL","NULL"
"RNDBOT","22472","10","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22473","7","4","7","0","NULL","0","NULL","NULL"
"RNDBOT","22474","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22475","1","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22476","6","11","1","0","NULL","0","NULL","NULL"
"RNDBOT","22477","9","8","1","0","NULL","0","NULL","NULL"
"RNDBOT","22478","4","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22479","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22480","6","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22481","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22482","4","5","1","0","NULL","0","NULL","NULL"
"RNDBOT","22483","10","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22484","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22485","1","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22486","2","7","1","0","NULL","0","NULL","NULL"
"RNDBOT","22487","6","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22488","4","3","1","0","NULL","0","NULL","NULL"
"RNDBOT","22489","4","4","1","0","NULL","0","NULL","NULL"
"RNDBOT","22490","9","1","1","0","NULL","0","NULL","NULL"
"RNDBOT","22491","7","9","1","0","NULL","0","NULL","NULL"
