race_id	class_id	race_name	class_name	bot_count
1	1	Human	Warrior	86
1	2	Human	Paladin	186
1	3	Human	Hunter	172
1	4	Human	Rogue	58
1	5	Human	Priest	52
1	8	Human	Mage	83
1	9	Human	Warlock	62
2	1	Orc	Warrior	61
2	3	Orc	Hunter	71
2	4	Orc	Rogue	11
2	7	Orc	Shaman	39
2	9	Orc	Warlock	20
3	1	Dwarf	Warrior	38
3	2	Dwarf	Paladin	65
3	3	Dwarf	Hunter	97
3	4	Dwarf	Rogue	13
3	5	Dwarf	Priest	26
4	1	Night Elf	Warrior	58
4	3	Night Elf	Hunter	184
4	4	Night Elf	Rogue	126
4	5	Night Elf	Priest	45
4	11	Night Elf	Druid	146
5	1	Undead	Warrior	25
5	4	Undead	Rogue	74
5	5	Undead	Priest	61
5	8	Undead	Mage	62
5	9	Undead	Warlock	88
6	1	Tauren	Warrior	50
6	3	Tauren	Hunter	35
6	7	Tauren	Shaman	79
6	11	Tauren	Druid	51
7	1	Gnome	Warrior	14
7	4	Gnome	Rogue	33
7	8	Gnome	Mage	64
7	9	Gnome	Warlock	48
8	1	Troll	Warrior	10
8	3	Troll	Hunter	41
8	4	Troll	Rogue	43
8	5	Troll	Priest	8
8	7	Troll	Shaman	37
8	8	Troll	Mage	23
9	1	Goblin	Warrior	181
9	3	Goblin	Hunter	177
9	4	Goblin	Rogue	182
9	8	Goblin	Mage	182
9	9	Goblin	Warlock	175
10	1	High Elf	Warrior	196
10	2	High Elf	Paladin	173
10	3	High Elf	Hunter	182
10	4	High Elf	Rogue	177
10	5	High Elf	Priest	170
10	8	High Elf	Mage	160
