race_id	class_id	race_name	class_name	bot_count	equal_share	delta_from_equal_share	representation
1	1	Human	Warrior	86	86.538462	-0.538462	UNDER
2	1	Orc	Warrior	61	86.538462	-25.538462	UNDER
3	1	Dwarf	Warrior	38	86.538462	-48.538462	UNDER
4	1	Night Elf	Warrior	58	86.538462	-28.538462	UNDER
5	1	Undead	Warrior	25	86.538462	-61.538462	UNDER
6	1	Tauren	Warrior	50	86.538462	-36.538462	UNDER
7	1	Gnome	Warrior	14	86.538462	-72.538462	UNDER
8	1	Troll	Warrior	10	86.538462	-76.538462	UNDER
9	1	Goblin	Warrior	181	86.538462	94.461538	OVER
10	1	High Elf	Warrior	196	86.538462	109.461538	OVER
1	2	Human	Paladin	186	86.538462	99.461538	OVER
3	2	Dwarf	Paladin	65	86.538462	-21.538462	UNDER
10	2	High Elf	Paladin	173	86.538462	86.461538	OVER
1	3	Human	Hunter	172	86.538462	85.461538	OVER
2	3	Orc	Hunter	71	86.538462	-15.538462	UNDER
3	3	Dwarf	Hunter	97	86.538462	10.461538	OVER
4	3	Night Elf	Hunter	184	86.538462	97.461538	OVER
6	3	Tauren	Hunter	35	86.538462	-51.538462	UNDER
8	3	Troll	Hunter	41	86.538462	-45.538462	UNDER
9	3	Goblin	Hunter	177	86.538462	90.461538	OVER
10	3	High Elf	Hunter	182	86.538462	95.461538	OVER
1	4	Human	Rogue	58	86.538462	-28.538462	UNDER
2	4	Orc	Rogue	11	86.538462	-75.538462	UNDER
3	4	Dwarf	Rogue	13	86.538462	-73.538462	UNDER
4	4	Night Elf	Rogue	126	86.538462	39.461538	OVER
5	4	Undead	Rogue	74	86.538462	-12.538462	UNDER
7	4	Gnome	Rogue	33	86.538462	-53.538462	UNDER
8	4	Troll	Rogue	43	86.538462	-43.538462	UNDER
9	4	Goblin	Rogue	182	86.538462	95.461538	OVER
10	4	High Elf	Rogue	177	86.538462	90.461538	OVER
1	5	Human	Priest	52	86.538462	-34.538462	UNDER
3	5	Dwarf	Priest	26	86.538462	-60.538462	UNDER
4	5	Night Elf	Priest	45	86.538462	-41.538462	UNDER
5	5	Undead	Priest	61	86.538462	-25.538462	UNDER
8	5	Troll	Priest	8	86.538462	-78.538462	UNDER
10	5	High Elf	Priest	170	86.538462	83.461538	OVER
2	7	Orc	Shaman	39	86.538462	-47.538462	UNDER
6	7	Tauren	Shaman	79	86.538462	-7.538462	UNDER
8	7	Troll	Shaman	37	86.538462	-49.538462	UNDER
1	8	Human	Mage	83	86.538462	-3.538462	UNDER
5	8	Undead	Mage	62	86.538462	-24.538462	UNDER
7	8	Gnome	Mage	64	86.538462	-22.538462	UNDER
8	8	Troll	Mage	23	86.538462	-63.538462	UNDER
9	8	Goblin	Mage	182	86.538462	95.461538	OVER
10	8	High Elf	Mage	160	86.538462	73.461538	OVER
1	9	Human	Warlock	62	86.538462	-24.538462	UNDER
2	9	Orc	Warlock	20	86.538462	-66.538462	UNDER
5	9	Undead	Warlock	88	86.538462	1.461538	OVER
7	9	Gnome	Warlock	48	86.538462	-38.538462	UNDER
9	9	Goblin	Warlock	175	86.538462	88.461538	OVER
4	11	Night Elf	Druid	146	86.538462	59.461538	OVER
6	11	Tauren	Druid	51	86.538462	-35.538462	UNDER
