"class_id","class","path_id","configured_name","probability","config_line"
"1","Warrior","0","fury","100","583"
"1","Warrior","1","protection","100","596"
"2","Paladin","0","holy","100","611"
"2","Paladin","1","protection","100","624"
"2","Paladin","2","retribution","100","637"
"3","Hunter","0","beastmastery","100","652"
"3","Hunter","1","marksmanship","100","665"
"4","Rogue","0","combat","100","680"
"4","Rogue","1","assassination","100","693"
"5","Priest","0","holy","100","708"
"5","Priest","1","shadow","100","721"
"7","Shaman","0","restoration","100","736"
"7","Shaman","1","enhancement","100","749"
"8","Mage","0","arcane","100","764"
"8","Mage","1","fire","100","777"
"8","Mage","2","frost","100","790"
"9","Warlock","0","affliction","100","805"
"9","Warlock","1","demonology","100","818"
"9","Warlock","2","destruction","100","831"
"11","Druid","0","balance","100","846"
"11","Druid","1","feral","100","859"
"11","Druid","2","restoration","100","872"
