"race_id","race","faction","class_id","class","playercreateinfo_present","playerbot_factory_allowed","observed_in_rndbot_stock","stock_count","config_mode","config_line","configured_value","effective_probability","stored_add_event_rows","effective_timer_active_events","currently_online_in_world"
"1","Human","Alliance","1","Warrior","1","1","1","86","explicit_pair_override","490","40","40","1","0","0"
"1","Human","Alliance","2","Paladin","1","1","1","186","explicit_pair_override","500","102","102","2","0","0"
"1","Human","Alliance","3","Hunter","1","1","1","172","implicit_default","","","100","1","0","0"
"1","Human","Alliance","4","Rogue","1","1","1","58","explicit_pair_override","511","32","32","1","0","0"
"1","Human","Alliance","5","Priest","1","1","1","52","explicit_pair_override","520","26","26","1","0","0"
"1","Human","Alliance","8","Mage","1","1","1","83","explicit_pair_override","532","49","49","1","0","0"
"1","Human","Alliance","9","Warlock","1","1","1","62","explicit_pair_override","538","37","37","1","0","0"
"2","Orc","Horde","1","Warrior","1","1","1","61","explicit_pair_override","491","30","30","0","0","0"
"2","Orc","Horde","3","Hunter","1","1","1","71","explicit_pair_override","504","32","32","3","0","0"
"2","Orc","Horde","4","Rogue","1","1","1","11","explicit_pair_override","512","9","9","0","0","0"
"2","Orc","Horde","7","Shaman","1","1","1","39","explicit_pair_override","527","21","21","1","0","0"
"2","Orc","Horde","8","Mage","1","0","0","0","factory_rejected","","","0","0","0","0"
"2","Orc","Horde","9","Warlock","1","1","1","20","explicit_pair_override","539","12","12","0","0","0"
"3","Dwarf","Alliance","1","Warrior","1","1","1","38","explicit_pair_override","492","20","20","1","0","0"
"3","Dwarf","Alliance","2","Paladin","1","1","1","65","explicit_pair_override","501","37","37","1","0","0"
"3","Dwarf","Alliance","3","Hunter","1","1","1","97","explicit_pair_override","505","52","52","1","0","0"
"3","Dwarf","Alliance","4","Rogue","1","1","1","13","explicit_pair_override","513","9","9","0","0","0"
"3","Dwarf","Alliance","5","Priest","1","1","1","26","explicit_pair_override","521","9","9","1","0","0"
"3","Dwarf","Alliance","8","Mage","1","0","0","0","factory_rejected","","","0","0","0","0"
"3","Dwarf","Alliance","9","Warlock","1","0","0","0","factory_rejected","","","0","0","0","0"
"4","Night Elf","Alliance","1","Warrior","1","1","1","58","explicit_pair_override","493","28","28","1","0","0"
"4","Night Elf","Alliance","3","Hunter","1","1","1","184","explicit_pair_override","506","102","102","2","0","0"
"4","Night Elf","Alliance","4","Rogue","1","1","1","126","explicit_pair_override","514","65","65","0","0","0"
"4","Night Elf","Alliance","5","Priest","1","1","1","45","explicit_pair_override","522","23","23","0","0","0"
"4","Night Elf","Alliance","11","Druid","1","1","1","146","explicit_pair_override","544","76","76","3","0","0"
"5","Undead","Horde","1","Warrior","1","1","1","25","explicit_pair_override","494","19","19","0","0","0"
"5","Undead","Horde","3","Hunter","1","0","0","0","factory_rejected","","","0","0","0","0"
"5","Undead","Horde","4","Rogue","1","1","1","74","explicit_pair_override","515","39","39","0","0","0"
"5","Undead","Horde","5","Priest","1","1","1","61","explicit_pair_override","523","27","27","1","0","0"
"5","Undead","Horde","8","Mage","1","1","1","62","explicit_pair_override","533","36","36","4","0","0"
"5","Undead","Horde","9","Warlock","1","1","1","88","explicit_pair_override","540","43","43","0","0","0"
"6","Tauren","Horde","1","Warrior","1","1","1","50","explicit_pair_override","495","31","31","0","0","0"
"6","Tauren","Horde","3","Hunter","1","1","1","35","explicit_pair_override","507","23","23","1","0","0"
"6","Tauren","Horde","5","Priest","1","0","0","0","factory_rejected","","","0","0","0","0"
"6","Tauren","Horde","7","Shaman","1","1","1","79","explicit_pair_override","528","39","39","0","0","0"
"6","Tauren","Horde","11","Druid","1","1","1","51","explicit_pair_override","545","34","34","0","0","0"
"7","Gnome","Alliance","1","Warrior","1","1","1","14","explicit_pair_override","496","7","7","0","0","0"
"7","Gnome","Alliance","3","Hunter","1","0","0","0","factory_rejected","","","0","0","0","0"
"7","Gnome","Alliance","4","Rogue","1","1","1","33","explicit_pair_override","516","18","18","0","0","0"
"7","Gnome","Alliance","8","Mage","1","1","1","64","explicit_pair_override","534","33","33","0","0","0"
"7","Gnome","Alliance","9","Warlock","1","1","1","48","explicit_pair_override","541","26","26","0","0","0"
"8","Troll","Horde","1","Warrior","1","1","1","10","explicit_pair_override","497","7","7","0","0","0"
"8","Troll","Horde","3","Hunter","1","1","1","41","explicit_pair_override","508","22","22","1","0","0"
"8","Troll","Horde","4","Rogue","1","1","1","43","explicit_pair_override","517","25","25","0","0","0"
"8","Troll","Horde","5","Priest","1","1","1","8","explicit_pair_override","524","9","9","0","0","0"
"8","Troll","Horde","7","Shaman","1","1","1","37","explicit_pair_override","529","21","21","0","0","0"
"8","Troll","Horde","8","Mage","1","1","1","23","explicit_pair_override","535","13","13","0","0","0"
"8","Troll","Horde","9","Warlock","1","0","0","0","factory_rejected","","","0","0","0","0"
"9","Goblin","Horde","1","Warrior","1","1","1","181","implicit_default","","","100","3","0","0"
"9","Goblin","Horde","3","Hunter","1","1","1","177","implicit_default","","","100","3","0","0"
"9","Goblin","Horde","4","Rogue","1","1","1","182","implicit_default","","","100","1","0","0"
"9","Goblin","Horde","8","Mage","1","1","1","182","implicit_default","","","100","1","0","0"
"9","Goblin","Horde","9","Warlock","1","1","1","175","implicit_default","","","100","3","0","0"
"10","High Elf","Alliance","1","Warrior","1","1","1","196","implicit_default","","","100","0","0","0"
"10","High Elf","Alliance","2","Paladin","1","1","1","173","implicit_default","","","100","2","0","0"
"10","High Elf","Alliance","3","Hunter","1","1","1","182","implicit_default","","","100","1","0","0"
"10","High Elf","Alliance","4","Rogue","1","1","1","177","implicit_default","","","100","1","0","0"
"10","High Elf","Alliance","5","Priest","1","1","1","170","implicit_default","","","100","5","0","0"
"10","High Elf","Alliance","8","Mage","1","1","1","160","implicit_default","","","100","4","0","0"
