"race_id","race","class_id","class","level","stock_count","stored_add_event_rows","effective_timer_active_events","currently_online_in_world"
"1","Human","1","Warrior","1","83","0","0","0"
"1","Human","1","Warrior","5","1","0","0","0"
"1","Human","1","Warrior","7","2","1","0","0"
"1","Human","2","Paladin","1","182","0","0","0"
"1","Human","2","Paladin","2","1","1","0","0"
"1","Human","2","Paladin","6","2","1","0","0"
"1","Human","2","Paladin","7","1","0","0","0"
"1","Human","3","Hunter","1","169","0","0","0"
"1","Human","3","Hunter","6","1","0","0","0"
"1","Human","3","Hunter","7","2","1","0","0"
"1","Human","4","Rogue","1","57","0","0","0"
"1","Human","4","Rogue","6","1","1","0","0"
"1","Human","5","Priest","1","50","0","0","0"
"1","Human","5","Priest","6","1","0","0","0"
"1","Human","5","Priest","7","1","1","0","0"
"1","Human","8","Mage","1","81","0","0","0"
"1","Human","8","Mage","5","1","0","0","0"
"1","Human","8","Mage","6","1","1","0","0"
"1","Human","9","Warlock","1","59","0","0","0"
"1","Human","9","Warlock","5","1","0","0","0"
"1","Human","9","Warlock","6","2","1","0","0"
"2","Orc","1","Warrior","1","59","0","0","0"
"2","Orc","1","Warrior","6","1","0","0","0"
"2","Orc","1","Warrior","7","1","0","0","0"
"2","Orc","3","Hunter","1","66","0","0","0"
"2","Orc","3","Hunter","4","1","1","0","0"
"2","Orc","3","Hunter","5","1","1","0","0"
"2","Orc","3","Hunter","6","3","1","0","0"
"2","Orc","4","Rogue","1","10","0","0","0"
"2","Orc","4","Rogue","6","1","0","0","0"
"2","Orc","7","Shaman","1","38","0","0","0"
"2","Orc","7","Shaman","7","1","1","0","0"
"2","Orc","9","Warlock","1","20","0","0","0"
"3","Dwarf","1","Warrior","1","36","0","0","0"
"3","Dwarf","1","Warrior","4","1","0","0","0"
"3","Dwarf","1","Warrior","7","1","1","0","0"
"3","Dwarf","2","Paladin","1","61","0","0","0"
"3","Dwarf","2","Paladin","6","2","0","0","0"
"3","Dwarf","2","Paladin","7","2","1","0","0"
"3","Dwarf","3","Hunter","1","94","0","0","0"
"3","Dwarf","3","Hunter","4","1","0","0","0"
"3","Dwarf","3","Hunter","6","2","1","0","0"
"3","Dwarf","4","Rogue","1","13","0","0","0"
"3","Dwarf","5","Priest","1","25","0","0","0"
"3","Dwarf","5","Priest","7","1","1","0","0"
"4","Night Elf","1","Warrior","1","56","0","0","0"
"4","Night Elf","1","Warrior","2","1","1","0","0"
"4","Night Elf","1","Warrior","6","1","0","0","0"
"4","Night Elf","3","Hunter","1","180","0","0","0"
"4","Night Elf","3","Hunter","6","2","1","0","0"
"4","Night Elf","3","Hunter","7","2","1","0","0"
"4","Night Elf","4","Rogue","1","124","0","0","0"
"4","Night Elf","4","Rogue","4","1","0","0","0"
"4","Night Elf","4","Rogue","8","1","0","0","0"
"4","Night Elf","5","Priest","1","43","0","0","0"
"4","Night Elf","5","Priest","2","1","0","0","0"
"4","Night Elf","5","Priest","6","1","0","0","0"
"4","Night Elf","11","Druid","1","142","0","0","0"
"4","Night Elf","11","Druid","2","1","1","0","0"
"4","Night Elf","11","Druid","3","2","1","0","0"
"4","Night Elf","11","Druid","4","1","1","0","0"
"5","Undead","1","Warrior","1","24","0","0","0"
"5","Undead","1","Warrior","3","1","0","0","0"
"5","Undead","4","Rogue","1","74","0","0","0"
"5","Undead","5","Priest","1","60","0","0","0"
"5","Undead","5","Priest","7","1","1","0","0"
"5","Undead","8","Mage","1","58","0","0","0"
"5","Undead","8","Mage","2","1","1","0","0"
"5","Undead","8","Mage","5","1","1","0","0"
"5","Undead","8","Mage","6","2","2","0","0"
"5","Undead","9","Warlock","1","87","0","0","0"
"5","Undead","9","Warlock","6","1","0","0","0"
"6","Tauren","1","Warrior","1","49","0","0","0"
"6","Tauren","1","Warrior","5","1","0","0","0"
"6","Tauren","3","Hunter","1","33","0","0","0"
"6","Tauren","3","Hunter","6","2","1","0","0"
"6","Tauren","7","Shaman","1","78","0","0","0"
"6","Tauren","7","Shaman","6","1","0","0","0"
"6","Tauren","11","Druid","1","51","0","0","0"
"7","Gnome","1","Warrior","1","14","0","0","0"
"7","Gnome","4","Rogue","1","32","0","0","0"
"7","Gnome","4","Rogue","7","1","0","0","0"
"7","Gnome","8","Mage","1","64","0","0","0"
"7","Gnome","9","Warlock","1","47","0","0","0"
"7","Gnome","9","Warlock","7","1","0","0","0"
"8","Troll","1","Warrior","1","10","0","0","0"
"8","Troll","3","Hunter","1","39","0","0","0"
"8","Troll","3","Hunter","3","1","1","0","0"
"8","Troll","3","Hunter","5","1","0","0","0"
"8","Troll","4","Rogue","1","42","0","0","0"
"8","Troll","4","Rogue","6","1","0","0","0"
"8","Troll","5","Priest","1","8","0","0","0"
"8","Troll","7","Shaman","1","37","0","0","0"
"8","Troll","8","Mage","1","22","0","0","0"
"8","Troll","8","Mage","9","1","0","0","0"
"9","Goblin","1","Warrior","1","174","0","0","0"
"9","Goblin","1","Warrior","4","1","0","0","0"
"9","Goblin","1","Warrior","6","4","2","0","0"
"9","Goblin","1","Warrior","7","2","1","0","0"
"9","Goblin","3","Hunter","1","172","0","0","0"
"9","Goblin","3","Hunter","5","2","2","0","0"
"9","Goblin","3","Hunter","6","3","1","0","0"
"9","Goblin","4","Rogue","1","181","0","0","0"
"9","Goblin","4","Rogue","5","1","1","0","0"
"9","Goblin","8","Mage","1","181","0","0","0"
"9","Goblin","8","Mage","6","1","1","0","0"
"9","Goblin","9","Warlock","1","166","0","0","0"
"9","Goblin","9","Warlock","2","1","1","0","0"
"9","Goblin","9","Warlock","5","2","0","0","0"
"9","Goblin","9","Warlock","6","6","2","0","0"
"10","High Elf","1","Warrior","1","193","0","0","0"
"10","High Elf","1","Warrior","6","2","0","0","0"
"10","High Elf","1","Warrior","7","1","0","0","0"
"10","High Elf","2","Paladin","1","163","0","0","0"
"10","High Elf","2","Paladin","2","2","0","0","0"
"10","High Elf","2","Paladin","3","1","0","0","0"
"10","High Elf","2","Paladin","4","1","0","0","0"
"10","High Elf","2","Paladin","6","2","0","0","0"
"10","High Elf","2","Paladin","7","3","1","0","0"
"10","High Elf","2","Paladin","9","1","1","0","0"
"10","High Elf","3","Hunter","1","179","0","0","0"
"10","High Elf","3","Hunter","2","1","1","0","0"
"10","High Elf","3","Hunter","6","2","0","0","0"
"10","High Elf","4","Rogue","1","175","0","0","0"
"10","High Elf","4","Rogue","6","1","1","0","0"
"10","High Elf","4","Rogue","7","1","0","0","0"
"10","High Elf","5","Priest","1","166","1","0","0"
"10","High Elf","5","Priest","2","1","1","0","0"
"10","High Elf","5","Priest","6","3","3","0","0"
"10","High Elf","8","Mage","1","155","0","0","0"
"10","High Elf","8","Mage","6","1","1","0","0"
"10","High Elf","8","Mage","7","3","2","0","0"
"10","High Elf","8","Mage","8","1","1","0","0"
