"skill_id","profession","classification","character_count","min_value","max_value","min_cap","max_cap"
"129","First Aid","SECONDARY","5","1","7","75","75"
"142","Survival","SECONDARY_SURVIVAL","4","1","1","75","75"
"164","Blacksmithing","PRIMARY","1","1","1","75","75"
"165","Leatherworking","PRIMARY","1","1","1","75","75"
"171","Alchemy","PRIMARY","2","1","1","75","75"
"182","Herbalism","PRIMARY","5","1","4","75","75"
"185","Cooking","SECONDARY","3","1","1","75","75"
"186","Mining","PRIMARY","3","1","10","75","75"
"356","Fishing","SECONDARY","4","1","1","75","75"
"393","Skinning","PRIMARY","1","1","1","75","75"
