"guid","race_id","race","class_id","class","level","prior_leader_type","evidence_status","current_group_membership"
"23144","1","Human","3","Hunter","6","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"24259","10","High Elf","1","Warrior","7","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"25531","1","Human","2","Paladin","7","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"23145","10","High Elf","3","Hunter","6","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"25526","10","High Elf","2","Paladin","7","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"22498","9","Goblin","1","Warrior","6","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"24263","2","Orc","3","Hunter","6","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"22499","4","Night Elf","3","Hunter","6","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"23147","4","Night Elf","5","Priest","6","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"22847","5","Undead","8","Mage","2","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
"23823","10","High Elf","5","Priest","1","RNDBOT_LEADER","SUPERSEDED_BY_LATER_GROUP_FILE_WRITES","UNPROVEN"
