"snapshot_type","guid","race_id","race","class_id","class","level","event_value","changed_utc","expires_utc","effective_timer_active_at_capture"
"stored_add_event","22450","9","Goblin","9","Warlock","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T22:24:37.0000000Z","0"
"stored_add_event","22451","9","Goblin","9","Warlock","2","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:32:14.0000000Z","0"
"stored_add_event","22456","10","High Elf","2","Paladin","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:45:16.0000000Z","0"
"stored_add_event","22466","10","High Elf","5","Priest","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T21:00:31.0000000Z","0"
"stored_add_event","22467","3","Dwarf","2","Paladin","7","1","2026-08-29T18:08:42.0000000Z","2026-08-29T22:57:30.0000000Z","0"
"stored_add_event","22471","10","High Elf","3","Hunter","2","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:42:31.0000000Z","0"
"stored_add_event","22497","9","Goblin","1","Warrior","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T20:34:18.0000000Z","0"
"stored_add_event","22500","4","Night Elf","11","Druid","4","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:48:29.0000000Z","0"
"stored_add_event","22847","5","Undead","8","Mage","2","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:28:49.0000000Z","0"
"stored_add_event","22849","1","Human","3","Hunter","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:08:51.0000000Z","0"
"stored_add_event","22850","1","Human","1","Warrior","7","1","2026-08-29T18:08:42.0000000Z","2026-08-29T20:54:26.0000000Z","0"
"stored_add_event","22852","2","Orc","7","Shaman","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:26:44.0000000Z","0"
"stored_add_event","23142","4","Night Elf","3","Hunter","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:29:12.0000000Z","0"
"stored_add_event","23143","1","Human","5","Priest","7","1","2026-08-29T18:08:42.0000000Z","2026-08-29T21:09:30.0000000Z","0"
"stored_add_event","23286","2","Orc","3","Hunter","5","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:29:22.0000000Z","0"
"stored_add_event","23287","10","High Elf","5","Priest","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:25:23.0000000Z","0"
"stored_add_event","23290","10","High Elf","8","Mage","8","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:32:55.0000000Z","0"
"stored_add_event","23292","1","Human","4","Rogue","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:18:22.0000000Z","0"
"stored_add_event","23817","5","Undead","5","Priest","7","1","2026-08-29T18:08:42.0000000Z","2026-08-29T21:08:17.0000000Z","0"
"stored_add_event","23822","3","Dwarf","3","Hunter","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:48:28.0000000Z","0"
"stored_add_event","23823","10","High Elf","5","Priest","1","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:15:13.0000000Z","0"
"stored_add_event","23824","9","Goblin","3","Hunter","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T21:14:33.0000000Z","0"
"stored_add_event","23852","2","Orc","3","Hunter","4","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:07:13.0000000Z","0"
"stored_add_event","24258","5","Undead","8","Mage","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:41:35.0000000Z","0"
"stored_add_event","24833","4","Night Elf","1","Warrior","2","1","2026-08-29T18:08:42.0000000Z","2026-08-29T22:09:47.0000000Z","0"
"stored_add_event","24834","9","Goblin","9","Warlock","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T18:41:35.0000000Z","0"
"stored_add_event","24835","5","Undead","8","Mage","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:04:52.0000000Z","0"
"stored_add_event","24838","9","Goblin","4","Rogue","5","1","2026-08-29T18:08:42.0000000Z","2026-08-29T22:31:42.0000000Z","0"
"stored_add_event","24839","10","High Elf","5","Priest","2","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:12:13.0000000Z","0"
"stored_add_event","24905","3","Dwarf","1","Warrior","7","1","2026-08-29T18:08:42.0000000Z","2026-08-29T18:56:26.0000000Z","0"
"stored_add_event","24909","6","Tauren","3","Hunter","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:50:40.0000000Z","0"
"stored_add_event","24910","1","Human","8","Mage","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:39:55.0000000Z","0"
"stored_add_event","24911","4","Night Elf","3","Hunter","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:10:36.0000000Z","0"
"stored_add_event","24912","10","High Elf","8","Mage","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:12:30.0000000Z","0"
"stored_add_event","24914","9","Goblin","3","Hunter","5","1","2026-08-29T18:08:42.0000000Z","2026-08-29T19:02:09.0000000Z","0"
"stored_add_event","24917","9","Goblin","1","Warrior","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:50:57.0000000Z","0"
"stored_add_event","24918","10","High Elf","5","Priest","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T18:56:14.0000000Z","0"
"stored_add_event","24920","1","Human","2","Paladin","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T21:20:39.0000000Z","0"
"stored_add_event","24921","9","Goblin","1","Warrior","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:54:55.0000000Z","0"
"stored_add_event","24922","3","Dwarf","5","Priest","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:12:34.0000000Z","0"
"stored_add_event","24995","10","High Elf","2","Paladin","9","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:37:41.0000000Z","0"
"stored_add_event","24996","10","High Elf","8","Mage","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T19:13:15.0000000Z","0"
"stored_add_event","24998","9","Goblin","8","Mage","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T23:40:18.0000000Z","0"
"stored_add_event","24999","9","Goblin","3","Hunter","5","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:32:20.0000000Z","0"
"stored_add_event","25001","8","Troll","3","Hunter","3","1","2026-08-29T18:08:42.0000000Z","2026-08-29T20:19:18.0000000Z","0"
"stored_add_event","25003","4","Night Elf","11","Druid","3","1","2026-08-29T18:08:42.0000000Z","2026-08-29T19:01:18.0000000Z","0"
"stored_add_event","25265","5","Undead","8","Mage","5","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:34:47.0000000Z","0"
"stored_add_event","25267","2","Orc","3","Hunter","6","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:37:32.0000000Z","0"
"stored_add_event","25268","1","Human","9","Warlock","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T22:08:25.0000000Z","0"
"stored_add_event","25270","4","Night Elf","11","Druid","2","1","2026-08-29T18:08:42.0000000Z","2026-08-29T21:16:30.0000000Z","0"
"stored_add_event","25271","10","High Elf","4","Rogue","6","1","2026-08-29T18:08:42.0000000Z","2026-08-29T19:12:50.0000000Z","0"
"stored_add_event","25272","1","Human","2","Paladin","2","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:18:01.0000000Z","0"
"stored_add_event","25273","10","High Elf","8","Mage","7","1","2026-08-29T15:06:18.0000000Z","2026-08-29T20:25:10.0000000Z","0"
