bot_guid	population_key	race_id	race_key	class_id	class_key	gender_id	gender_key	race_variant_key	profession_skill_ids
18281	active_random_rotation	5	undead	4	rogue	0	male		
18282	active_random_rotation	10	high_elf	1	warrior	1	female		
18283	active_random_rotation	3	dwarf	1	warrior	0	male		
18284	active_random_rotation	1	human	8	mage	1	female		
18285	active_random_rotation	10	high_elf	4	rogue	1	female		
18286	active_random_rotation	1	human	3	hunter	1	female		
18287	active_random_rotation	10	high_elf	3	hunter	0	male		
18288	active_random_rotation	7	gnome	4	rogue	1	female		
18289	active_random_rotation	9	goblin	3	hunter	0	male		
18533	active_random_rotation	9	goblin	8	mage	0	male		
18534	active_random_rotation	5	undead	8	mage	1	female		
18535	active_random_rotation	9	goblin	9	warlock	0	male		
18536	active_random_rotation	7	gnome	9	warlock	1	female		
18537	active_random_rotation	1	human	3	hunter	0	male		
18538	active_random_rotation	4	night_elf	11	druid	1	female		
18539	active_random_rotation	9	goblin	3	hunter	0	male		
18540	active_random_rotation	9	goblin	1	warrior	0	male		
18541	active_random_rotation	1	human	9	warlock	1	female		
18587	active_random_rotation	4	night_elf	1	warrior	1	female		
18588	active_random_rotation	1	human	3	hunter	0	male		
18589	active_random_rotation	1	human	3	hunter	1	female		
18590	active_random_rotation	9	goblin	4	rogue	1	female		
18591	active_random_rotation	9	goblin	1	warrior	0	male		
18592	active_random_rotation	10	high_elf	2	paladin	0	male		
18593	active_random_rotation	10	high_elf	2	paladin	1	female		
18594	active_random_rotation	9	goblin	3	hunter	1	female		
18595	active_random_rotation	9	goblin	8	mage	0	male		
19028	active_random_rotation	10	high_elf	4	rogue	0	male		
19029	active_random_rotation	6	tauren	3	hunter	1	female		
19030	active_random_rotation	4	night_elf	3	hunter	1	female		
19031	active_random_rotation	6	tauren	11	druid	0	male		
19032	active_random_rotation	7	gnome	1	warrior	1	female		
19033	active_random_rotation	3	dwarf	3	hunter	0	male		
19034	active_random_rotation	4	night_elf	3	hunter	1	female		
19035	active_random_rotation	10	high_elf	2	paladin	1	female		
19036	active_random_rotation	6	tauren	11	druid	0	male		
19127	active_random_rotation	9	goblin	1	warrior	0	male		
19128	active_random_rotation	10	high_elf	5	priest	1	female		
19129	active_random_rotation	10	high_elf	2	paladin	0	male		
19130	active_random_rotation	10	high_elf	4	rogue	1	female		
19131	active_random_rotation	4	night_elf	3	hunter	1	female		
19132	active_random_rotation	2	orc	3	hunter	1	female		
19133	active_random_rotation	5	undead	4	rogue	0	male		
19134	active_random_rotation	9	goblin	4	rogue	0	male		
19135	active_random_rotation	4	night_elf	5	priest	0	male		
19161	active_random_rotation	1	human	3	hunter	0	male		
19253	active_random_rotation	4	night_elf	4	rogue	0	male		
19254	active_random_rotation	10	high_elf	1	warrior	1	female		
19255	active_random_rotation	6	tauren	7	shaman	0	male		
19256	active_random_rotation	4	night_elf	4	rogue	1	female		
19257	active_random_rotation	10	high_elf	1	warrior	1	female		
19258	active_random_rotation	3	dwarf	3	hunter	1	female		
19259	active_random_rotation	9	goblin	9	warlock	0	male		
19260	active_random_rotation	10	high_elf	4	rogue	0	male		
19261	active_random_rotation	6	tauren	11	druid	1	female		
19316	active_random_rotation	10	high_elf	1	warrior	0	male		
19317	active_random_rotation	5	undead	9	warlock	0	male		
19318	active_random_rotation	2	orc	3	hunter	0	male		
19319	active_random_rotation	7	gnome	4	rogue	1	female		
19320	active_random_rotation	10	high_elf	4	rogue	1	female		
19321	active_random_rotation	6	tauren	3	hunter	1	female		
19322	active_random_rotation	2	orc	1	warrior	1	female		
19323	active_random_rotation	7	gnome	8	mage	1	female		
19324	active_random_rotation	10	high_elf	3	hunter	1	female		
20513	active_random_rotation	9	goblin	8	mage	1	female		
20514	active_random_rotation	10	high_elf	4	rogue	0	male		
20515	active_random_rotation	10	high_elf	1	warrior	0	male		
20516	active_random_rotation	9	goblin	8	mage	0	male		
20517	active_random_rotation	5	undead	4	rogue	1	female		
20518	active_random_rotation	6	tauren	7	shaman	0	male		
20519	active_random_rotation	10	high_elf	1	warrior	0	male		
20520	active_random_rotation	1	human	4	rogue	0	male		
20521	active_random_rotation	7	gnome	4	rogue	1	female		
20963	active_random_rotation	8	troll	7	shaman	0	male		
20964	active_random_rotation	10	high_elf	3	hunter	1	female		
20965	active_random_rotation	10	high_elf	3	hunter	0	male		
20966	active_random_rotation	5	undead	4	rogue	0	male		
20967	active_random_rotation	1	human	1	warrior	1	female		
20968	active_random_rotation	2	orc	3	hunter	1	female		
20969	active_random_rotation	5	undead	4	rogue	1	female		
20970	active_random_rotation	10	high_elf	3	hunter	1	female		
20971	active_random_rotation	2	orc	1	warrior	1	female		
22160	active_random_rotation	9	goblin	9	warlock	1	female		
22161	active_random_rotation	1	human	8	mage	1	female		
22162	active_random_rotation	10	high_elf	3	hunter	0	male		
22163	active_random_rotation	1	human	3	hunter	0	male		
22164	active_random_rotation	10	high_elf	8	mage	0	male		
22165	active_random_rotation	4	night_elf	4	rogue	1	female		
22166	active_random_rotation	7	gnome	4	rogue	1	female		
22167	active_random_rotation	5	undead	4	rogue	0	male		
22168	active_random_rotation	8	troll	5	priest	0	male		
22349	active_random_rotation	10	high_elf	2	paladin	1	female		
22350	active_random_rotation	10	high_elf	8	mage	0	male		
22351	active_random_rotation	1	human	2	paladin	0	male		
22352	active_random_rotation	10	high_elf	1	warrior	0	male		
22353	active_random_rotation	5	undead	9	warlock	0	male		
22354	active_random_rotation	9	goblin	3	hunter	1	female		
22355	active_random_rotation	9	goblin	1	warrior	0	male		
22356	active_random_rotation	1	human	3	hunter	1	female		
22357	active_random_rotation	8	troll	1	warrior	1	female		
17930	inactive_random_reserve	8	troll	5	priest	0	male		
17931	inactive_random_reserve	10	high_elf	1	warrior	0	male		
17932	inactive_random_reserve	6	tauren	7	shaman	1	female		
17933	inactive_random_reserve	10	high_elf	4	rogue	0	male		
17934	inactive_random_reserve	10	high_elf	2	paladin	0	male		
17935	inactive_random_reserve	6	tauren	7	shaman	0	male		
17936	inactive_random_reserve	7	gnome	8	mage	1	female		
17937	inactive_random_reserve	10	high_elf	2	paladin	0	male		
17938	inactive_random_reserve	10	high_elf	4	rogue	0	male		
17939	inactive_random_reserve	4	night_elf	3	hunter	0	male		
17940	inactive_random_reserve	1	human	9	warlock	1	female		
17941	inactive_random_reserve	5	undead	8	mage	1	female		
17942	inactive_random_reserve	10	high_elf	2	paladin	0	male		
17943	inactive_random_reserve	9	goblin	1	warrior	0	male		
17944	inactive_random_reserve	1	human	3	hunter	1	female		
17945	inactive_random_reserve	5	undead	4	rogue	1	female		
17946	inactive_random_reserve	8	troll	3	hunter	1	female		
17947	inactive_random_reserve	1	human	3	hunter	1	female		
17948	inactive_random_reserve	9	goblin	8	mage	0	male		
17949	inactive_random_reserve	1	human	3	hunter	0	male		
17950	inactive_random_reserve	4	night_elf	3	hunter	1	female		
17951	inactive_random_reserve	10	high_elf	3	hunter	0	male		
17952	inactive_random_reserve	2	orc	7	shaman	0	male		
17953	inactive_random_reserve	9	goblin	3	hunter	0	male		
17954	inactive_random_reserve	10	high_elf	5	priest	0	male		
17955	inactive_random_reserve	9	goblin	9	warlock	0	male		
17956	inactive_random_reserve	3	dwarf	3	hunter	1	female		
17957	inactive_random_reserve	4	night_elf	4	rogue	1	female		
17958	inactive_random_reserve	3	dwarf	3	hunter	0	male		
17959	inactive_random_reserve	1	human	2	paladin	1	female		
17960	inactive_random_reserve	8	troll	8	mage	0	male		
17961	inactive_random_reserve	1	human	3	hunter	0	male		
17962	inactive_random_reserve	4	night_elf	4	rogue	0	male		
17963	inactive_random_reserve	4	night_elf	5	priest	1	female		
17964	inactive_random_reserve	4	night_elf	4	rogue	0	male		
17965	inactive_random_reserve	9	goblin	4	rogue	1	female		
17966	inactive_random_reserve	1	human	9	warlock	1	female		
17967	inactive_random_reserve	6	tauren	1	warrior	0	male		
17968	inactive_random_reserve	10	high_elf	2	paladin	0	male		
17969	inactive_random_reserve	10	high_elf	4	rogue	1	female		
17970	inactive_random_reserve	10	high_elf	3	hunter	1	female		
17971	inactive_random_reserve	10	high_elf	5	priest	0	male		
17972	inactive_random_reserve	10	high_elf	2	paladin	1	female		
17973	inactive_random_reserve	5	undead	8	mage	1	female		
17974	inactive_random_reserve	10	high_elf	2	paladin	1	female		
17975	inactive_random_reserve	10	high_elf	1	warrior	1	female		
17976	inactive_random_reserve	10	high_elf	1	warrior	0	male		
17977	inactive_random_reserve	1	human	9	warlock	1	female		
17978	inactive_random_reserve	9	goblin	1	warrior	0	male		
17979	inactive_random_reserve	6	tauren	7	shaman	0	male		
17980	inactive_random_reserve	2	orc	9	warlock	1	female		
17981	inactive_random_reserve	9	goblin	9	warlock	1	female		
17982	inactive_random_reserve	10	high_elf	4	rogue	0	male		
17983	inactive_random_reserve	4	night_elf	4	rogue	1	female		
17984	inactive_random_reserve	9	goblin	3	hunter	1	female		
17985	inactive_random_reserve	9	goblin	8	mage	0	male		
17986	inactive_random_reserve	9	goblin	3	hunter	1	female		
17987	inactive_random_reserve	1	human	2	paladin	0	male		
17988	inactive_random_reserve	9	goblin	4	rogue	0	male		
17989	inactive_random_reserve	9	goblin	8	mage	1	female		
17990	inactive_random_reserve	5	undead	4	rogue	1	female		
17991	inactive_random_reserve	1	human	2	paladin	1	female		
17992	inactive_random_reserve	9	goblin	9	warlock	0	male		
17993	inactive_random_reserve	9	goblin	3	hunter	1	female		
17994	inactive_random_reserve	1	human	5	priest	0	male		
17995	inactive_random_reserve	10	high_elf	8	mage	0	male		
