population_key	class_id	class_key	class_name	bot_count
random_account_stock	1	warrior	Warrior	692
random_account_stock	2	paladin	Paladin	443
random_account_stock	3	hunter	Hunter	918
random_account_stock	4	rogue	Rogue	740
random_account_stock	5	priest	Priest	338
random_account_stock	7	shaman	Shaman	169
random_account_stock	8	mage	Mage	617
random_account_stock	9	warlock	Warlock	407
random_account_stock	11	druid	Druid	176
active_random_rotation	1	warrior	Warrior	18
active_random_rotation	2	paladin	Paladin	6
active_random_rotation	3	hunter	Hunter	27
active_random_rotation	4	rogue	Rogue	22
active_random_rotation	5	priest	Priest	3
active_random_rotation	7	shaman	Shaman	3
active_random_rotation	8	mage	Mage	10
active_random_rotation	9	warlock	Warlock	7
active_random_rotation	11	druid	Druid	4
inactive_random_reserve	1	warrior	Warrior	674
inactive_random_reserve	2	paladin	Paladin	437
inactive_random_reserve	3	hunter	Hunter	891
inactive_random_reserve	4	rogue	Rogue	718
inactive_random_reserve	5	priest	Priest	335
inactive_random_reserve	7	shaman	Shaman	166
inactive_random_reserve	8	mage	Mage	607
inactive_random_reserve	9	warlock	Warlock	400
inactive_random_reserve	11	druid	Druid	172
