namespace	numeric_id	normalized_key	local_name	category	authoritative_path	source_reference
race	10	high_elf	High Elf	turtle_custom_playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	9	goblin	Goblin	turtle_custom_playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	8	troll	Troll	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	7	gnome	Gnome	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	6	tauren	Tauren	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	5	undead	Undead	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	4	night_elf	Night Elf	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	3	dwarf	Dwarf	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	2	orc	Orc	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
race	1	human	Human	playable_race	C:\TW\ComTW\data\dbc\ChrRaces.dbc	DBCStructure.h ChrRacesEntry; SharedDefines.h Races
class	11	druid	Druid	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	9	warlock	Warlock	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	8	mage	Mage	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	7	shaman	Shaman	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	5	priest	Priest	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	4	rogue	Rogue	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	3	hunter	Hunter	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	2	paladin	Paladin	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
class	1	warrior	Warrior	playable_class	C:\TW\ComTW\data\dbc\ChrClasses.dbc	DBCStructure.h ChrClassesEntry; SharedDefines.h Classes
profession	182	herbalism	Herbalism	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	142	survival	Survival	custom_secondary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	171	alchemy	Alchemy	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	129	first_aid	First Aid	secondary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	202	engineering	Engineering	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	164	blacksmithing	Blacksmithing	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	356	fishing	Fishing	secondary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	165	leatherworking	Leatherworking	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	197	tailoring	Tailoring	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	755	jewelcrafting	Jewelcrafting	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	393	skinning	Skinning	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	185	cooking	Cooking	secondary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	186	mining	Mining	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
profession	333	enchanting	Enchanting	primary_profession	C:\TW\ComTW\data\dbc\SkillLine.dbc	SpellMgr.h IsProfessionSkill
observed_skill	6	frost	Frost	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	8	fire	Fire	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	26	arms	Arms	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	38	combat	Combat	class	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
observed_skill	43	swords	Swords	weapon	C:\TW\ComTW\data\dbc\SkillLine.dbc	SkillLine.dbc category field
