contract_item,previous_classification,a_r1_active_value,status,evidence
personality_file,pre-correction profile,personality-context-profile-v1.json,UPDATED,bridge/config/bridge-config-v1.json:34
personality_version,pre-correction profile,1,UPDATED,bridge/context/personality-context-profile-v1.json:3
output_language,pre-correction dialogue rule,English regardless of input language,UPDATED,bridge/config/bridge-config-v1.json:36
max_output_codepoints,240,240,UNCHANGED,bridge/config/bridge-config-v1.json:12
max_output_utf8_bytes,not an active pre-correction bound,240,ADDED,bridge/config/bridge-config-v1.json:13
overlength_behavior,reject,reject whole text without truncation,CLARIFIED,bridge/src/prompt.mjs:35-43
delivery_channel,whisper only,whisper only,UNCHANGED,A-R1 contract
bot_guid,18281,18281,UNCHANGED,bridge/context/personality-context-profile-v1.json:5
active_limit,1,1,UNCHANGED,bridge/src/cli.mjs:79
waiting_capacity,2,2,UNCHANGED,bridge/src/cli.mjs:80
ledger_capacity,64,64,UNCHANGED,bridge/src/cli.mjs:81
ledger_full,fail closed,fail closed,UNCHANGED,bridge/src/bridge.mjs:116-118
retry_resubmit_autorestart,none,none,UNCHANGED,A-R1 contract
action_allowlist,empty,empty,UNCHANGED,A-R1 contract
payload_manifest,pre-correction pin superseded,814A8988ACF7F9651735A5AC111BA5A13ECD227C837665C0F8F9BA518B07171B,UPDATED,verified ZIP content
phase1a_report,packaged report,historical_evidence_only,RECLASSIFIED,bridge/phase1a-report.md:1;25;30;32
semantic_english_vs_wow_language,not explicit,not equivalent to LANG_COMMON,CLARIFIED,PlayerbotAI.cpp:3607-3614
