"tracker_index","tracker_id","expected_contiguous_id","tracker_name","source_index_by_name","source_name","source_path","name_match","order_match","id_match","tracker_hash","migration_sha1_checkout_bytes","migration_sha1_git_blob_bytes","stored_hash_matches_checkout_bytes","stored_hash_matches_git_blob_bytes","hash_classification","git_blob_oid","size_checkout_bytes","sha256_checkout_bytes","applied_at"
"1","632","632","20260504194945_world","1","20260504194945_world","sql/database_updates/world/20260504194945_world.sql","True","True","True","manual","713C7C996CBD30E113E6BA5DAB035350CA5DAB13","3A7721175EEACB165E2C7BFA7C633B88F4D7C732","False","False","manual_marker_not_file_hash","c13ece294c14a99bc63f30a842cab0dafb6c63f4","70877","7B077D6DBC46E250D29EB529228870714D0FAF1F0E6202673159E49529D53A5F","2026-08-25 18:55:38"
"2","633","633","20260504203644_world","2","20260504203644_world","sql/database_updates/world/20260504203644_world.sql","True","True","True","manual","CD8BB63FAACAC51F8A2E5C9EB00AED6ADD5254C9","C74A412BABA6A3436F71AA6D59BBEE209601888A","False","False","manual_marker_not_file_hash","5c31791a535daaab38c69b04bc0901bbc0b08597","1611","F460255CA863518025E6CF0960809C78EFD9C01A6368F363B4D2C48C8B6CD3FC","2026-08-25 18:55:39"
"3","634","634","20260504214035_world","3","20260504214035_world","sql/database_updates/world/20260504214035_world.sql","True","True","True","manual","EE8937B69A18B4C3031F2663B166FDE8DC4990CE","1569ACD2754F46C4676C6337444D8DC9D5969271","False","False","manual_marker_not_file_hash","aa3d0cbbcbcf12dd64de063d3d44b81e63bbba45","41450","97A3DF658870F55C7E0122EE5A866BAAF76729B13E1CF9C8EFCF056E19B725C9","2026-08-25 18:55:39"
"4","635","635","20260505222630_world","4","20260505222630_world","sql/database_updates/world/20260505222630_world.sql","True","True","True","manual","ED20F690D3E904849D5A8AB91068895FB46F5A0F","67B0100A999D8BE5A4D99DA4DC07ABEF8B38ADC7","False","False","manual_marker_not_file_hash","758a9b3ab259e3f0fcb53303ebbb82c1073ce63a","9403291","113A94FC94430235988BC0D6121731F9EEF461F5B2E7AA431FA592434DD8E203","2026-08-25 18:55:42"
"5","636","636","20260506204945_world","5","20260506204945_world","sql/database_updates/world/20260506204945_world.sql","True","True","True","manual","263A460E70869DBFC22699A928370FB058FA095E","04007403CADB29927F0BD1FE1F38606873BDCD96","False","False","manual_marker_not_file_hash","3209423981f55e8f5a3682cb1266f744e99c6a50","60612","CC691799F70218CD93CEF19E29E5AEEDC8339DEB6BB37B8C7BD04EBC7676D552","2026-08-25 18:55:42"
"6","637","637","20260507165648_world","6","20260507165648_world","sql/database_updates/world/20260507165648_world.sql","True","True","True","manual","1E159DFC46664C485C90936EEEA4C116AEB8FADD","C818696DC745948706DE58E116A8486EA72A69D5","False","False","manual_marker_not_file_hash","b161fcfe05ef9d99f6b86c75a4869ece8277212e","9041990","C248F3F7ACBDF07C663A7248D2EDF9ECEA83C10A286949FC673E99BAC2DDB51B","2026-08-25 18:55:44"
"7","638","638","20260507184157_world","7","20260507184157_world","sql/database_updates/world/20260507184157_world.sql","True","True","True","manual","8417649AC350DD295B040F1F1B99423A000E0D52","EFA9A1ECC92C2249A60EE892AC953FD4B0CD7C3F","False","False","manual_marker_not_file_hash","abeb950bb615f710f65ab6bc83403827c160b709","200763","366EB214F703FBEFE53E67490CB181317FB5F190B49338DAD59CFCA36EF66BBD","2026-08-25 18:55:44"
"8","639","639","20260507191316_world","8","20260507191316_world","sql/database_updates/world/20260507191316_world.sql","True","True","True","manual","E5AEC6BA1256AD49955A8DA7E6E1345AA86112CA","70BE21F7D9B4AB14C591D0F1BA229A3F9EDD7124","False","False","manual_marker_not_file_hash","a9e479f5291e8bd83190010cca1b6c01fb1d1fcd","2539","4C3B0F9908172E0F61B2D1B7074649D48E7D9109A22A5F29F257D2DF24B47AF0","2026-08-25 18:55:45"
"9","640","640","20260508064255_world","9","20260508064255_world","sql/database_updates/world/20260508064255_world.sql","True","True","True","manual","8D7C6C618F1E095AC853B65E6FA06D1000975E01","6CC2C0D303A25EEAF115DFFA39167EA80CFAE0C4","False","False","manual_marker_not_file_hash","3d1af4efa3928623914e760462fbbe040f151757","1182946","98978E64FC0EFD4D26DEC28F4A3F327C3E6B7E86FE2D5BE37DAC9D8D7F9AA688","2026-08-25 18:55:45"
"10","641","641","20260508192404_world","10","20260508192404_world","sql/database_updates/world/20260508192404_world.sql","True","True","True","manual","7439048E65E000288125DA54856EA2EAAA66A6CD","F0B6D70A0323662F06251B361C292861B470A98F","False","False","manual_marker_not_file_hash","f79d833a608c52260dc2826a8ea60fbc21c49857","3321208","58CC5E8227BA1DB24925E6D62E413C790B4E7E586030F651B6CC1010EF50C022","2026-08-25 18:55:46"
"11","642","642","20260509055406_world","11","20260509055406_world","sql/database_updates/world/20260509055406_world.sql","True","True","True","manual","A917A3E38C0780640E751C89CAB4F2571D4C7F56","8F68BBDFEA6DC02ED5E942E5DC4A12D8758BBB98","False","False","manual_marker_not_file_hash","bd6a9605b47bf1ce3342e01696a5d5f07181454e","493821","44AE0CD8B4CBFBA1CF22218DB75E91ABFD276B0A9F02BE1CC34BE9D26344AE06","2026-08-25 18:55:46"
"12","643","643","20260510092659_world","12","20260510092659_world","sql/database_updates/world/20260510092659_world.sql","True","True","True","manual","CCC6184459D7767544E23A697FBCD275D91C592A","B0FF0FF0372B8A71A1CD44B5F09C8028C74025A1","False","False","manual_marker_not_file_hash","64fe8c68fac36cc099149857c07e0dafe439e9f1","4774568","046A5B09E28DEACF3E05B5CE8CC75B3FA519E80512227523F320C7D985F6E86D","2026-08-25 18:55:47"
"13","644","644","20260511053220_world","13","20260511053220_world","sql/database_updates/world/20260511053220_world.sql","True","True","True","manual","E7B783500F33D8FD3422A32CD3C99945ADA2E51D","741C36C71BFE82857C246D4C9C52C463C26276EA","False","False","manual_marker_not_file_hash","1daa43c51c9f932e2a39b77fad6bdfcba75b62dc","19031286","BC9155487AE45319CEFE6FFAEE8141DC5E43A0560023E5CAC94285918F323206","2026-08-25 18:55:52"
"14","645","645","20260511154529_world","14","20260511154529_world","sql/database_updates/world/20260511154529_world.sql","True","True","True","manual","B7575AB8CBDA05BCDB00C8D1D9B0E7728F413DB0","468B56625407184FC65949860B632406DC2FDD82","False","False","manual_marker_not_file_hash","870f8a6641e1f24e81fe797c3f780ef953cce3eb","2753891","9F626060B52722AE55EDBEE0C7136EB52286A9F36E3A0ABCDB23F19DFA2B8998","2026-08-25 18:55:53"
"15","646","646","20260511164918_world","15","20260511164918_world","sql/database_updates/world/20260511164918_world.sql","True","True","True","manual","8241075088839901A52336906984A4F62EBC2AC4","373E9E345DA970C37A486114EB8E98615243B8D8","False","False","manual_marker_not_file_hash","647335a6c6e11f2a1c22ae98b6fd8a8056d7194b","43923","CAA01705FA78A46649C20DAE11AE20A881C843987DD17AD8FD8E5C03DDE2303F","2026-08-25 18:55:53"
"16","647","647","20260511211643_world","16","20260511211643_world","sql/database_updates/world/20260511211643_world.sql","True","True","True","manual","86EB3458ED96DBCCA4AC8EB579EC30D7A3023542","FF9402BAF43F9E322611A514619D6E3A97912DF1","False","False","manual_marker_not_file_hash","c063003efbb261e255239a44342869176adc8c9c","308173","1585EF628068B1BA733FD25A35AF4D382CBDBDEBAD8CE2D90E0B575A8DDEE995","2026-08-25 18:55:53"
"17","648","648","20260512033310_world","17","20260512033310_world","sql/database_updates/world/20260512033310_world.sql","True","True","True","manual","5474EA3EC507C4B814CF7D9F70CF98E2F3E19827","881E0DEAF3190E32D14B2686279C0865F88507D0","False","False","manual_marker_not_file_hash","9e74de1e7a01598337343c5eb63be2ce82c6a76a","2100","B4604D1490B2AEE5F277DDC1027D81B82372CD703E4CF49592C95A201CD77834","2026-08-25 18:55:54"
"18","649","649","20260512130432_world","18","20260512130432_world","sql/database_updates/world/20260512130432_world.sql","True","True","True","manual","C100221E00B3D6B9943D194F09B79727F2AB644E","5D14F21596D214B72772B512BAC75A8FFA921E34","False","False","manual_marker_not_file_hash","255d772b425cbd91924eef3c22f244d64743dc27","587003","8946996BED151E5ADF759DB6FCDB8B185B10238F730A30DD50DBB10785AA9D0A","2026-08-25 18:55:54"
"19","650","650","20260512224739_world","19","20260512224739_world","sql/database_updates/world/20260512224739_world.sql","True","True","True","manual","6F9E1755815599960794A8F8B2751A43C4BA7D24","F7EE237C4B59D15745B880E42CE938D767F7865A","False","False","manual_marker_not_file_hash","d39df60b8a53c58ecb53f767810ff2868c7a582b","69196","EBE41E3F5A561020B91FFFAFBA4FE0FDE963C05181549DE6FF44AF6E07DDCE50","2026-08-25 18:55:54"
"20","651","651","20260513084003_world","20","20260513084003_world","sql/database_updates/world/20260513084003_world.sql","True","True","True","manual","F225A3F4F9DC1E6F62641251376B5A85D25AA35B","9FF0F3F44DB9D1483397D537CC6A997C37DB1CE8","False","False","manual_marker_not_file_hash","41221a31033a7420524f0e0bdb7ebe9991f66f2f","790588","20DF79F7CBC41BF52BEEDEBBC69B755AE39310775106290E139256CEEF0D5460","2026-08-25 18:55:54"
"21","652","652","20260513094906_world","21","20260513094906_world","sql/database_updates/world/20260513094906_world.sql","True","True","True","manual","F688D3F37BA08981668C08C3377FB7CD7F3FD3B0","D8150400484D58B8224B8B59837C998437DD8312","False","False","manual_marker_not_file_hash","2b4bdedb919488ab7360a51f30897c2c625e6eb3","2482","F36E41F4EE4376D4A4967C2AD99525FBDB0453DDB11413AC2395C090F8F357EB","2026-08-25 18:55:54"
"22","653","653","20260513233443_world","22","20260513233443_world","sql/database_updates/world/20260513233443_world.sql","True","True","True","manual","9FB70F3471010051D37839D47485A6C4EBD12588","7B68DC550961DFBDB3D2027894078C237E514B40","False","False","manual_marker_not_file_hash","2b02e255b9230be1fc3562a95e258d5b31473266","488727","46EDEDD29565AEE59E6DC16E864AC9470F8332EE77535A3ACA0E9D352D0C92AE","2026-08-25 18:55:54"
"23","654","654","20260514011114_world","23","20260514011114_world","sql/database_updates/world/20260514011114_world.sql","True","True","True","manual","631711B40D39B888A0E86B7E931FE6F3CA654B7E","5B5C410F7CCE60FF017AA47FFE38C437565ECB8A","False","False","manual_marker_not_file_hash","2b5410a8095bdeb53e47879bf1b48e40c58865ec","18076","657DFD44E0B3FA7658995A8714BCAB2E5769D99A9C7E7F8860D244573C4AB6F8","2026-08-25 18:55:55"
"24","655","655","20260514035236_world","24","20260514035236_world","sql/database_updates/world/20260514035236_world.sql","True","True","True","manual","9E64674B458558776EFF00B4660BD9690FFCB26F","02520FA1C5CE3D441D3B6E7AFB71B44C9F4CA0DC","False","False","manual_marker_not_file_hash","445dfea08bcdb193bbb6cb845d71134254c43836","79487","96A7DB0C1DEE9DCE2F91DCAB00924FBB881D1BDCA9328054B705B20C7DEDD50B","2026-08-25 18:55:55"
"25","656","656","20260516050606_world","25","20260516050606_world","sql/database_updates/world/20260516050606_world.sql","True","True","True","manual","65F6077DEBCA45808CCF4F529D7C41BE4CF44E92","224B173C8766714666659F9B246379F922CA7C68","False","False","manual_marker_not_file_hash","8b37018815e3199610113e8876631860e65bb51f","287095","DE14945B3FE98AA3717C344D6BAE6AAE04446AC0AC28B63C2793CF97DD539AC8","2026-08-25 18:55:55"
"26","657","657","20260516210743_world","26","20260516210743_world","sql/database_updates/world/20260516210743_world.sql","True","True","True","manual","C98045F228C39382F5ED9EBE79B2ECF840952572","1B9F4DF4AFC1D2AAEA30D18ACBDC1C7155C419D3","False","False","manual_marker_not_file_hash","f148550cc1cefd7f4424d2b019a80b764d6a25aa","229957","DD6A6A77D5B5056A294BCDD26A5B1965C5D6C32A1893A3FB81A1FF8D072FC97E","2026-08-25 18:55:55"
"27","658","658","20260517045535_world","27","20260517045535_world","sql/database_updates/world/20260517045535_world.sql","True","True","True","manual","8CB703D0FCC8BB4B3E13DEA2CCC77321F494782C","F7999363B429BCCA3E91EBE511857A181D6F92D8","False","False","manual_marker_not_file_hash","3315c495b460904d8c8364930b12bcad03c35c13","53355","99CE12909C63DC7A940923059DFAB909360EDA5A35238B531A3A21F7B9C2C353","2026-08-25 18:55:56"
