Path	B_R2_Status	B_R2_Source_Copy_SHA256	Worktree_SHA256	Integration_Result
CMakeLists.txt	M	56075510FEA55EBBB7DA7DDB2B3597C4ACC5BB2818B38583AF0BF095E7AC7920	56075510FEA55EBBB7DA7DDB2B3597C4ACC5BB2818B38583AF0BF095E7AC7920	BYTE_IDENTICAL_SOURCE_COPY
sql/character_updates/20260830230336_ai_playerbot_persistent_active_roster.sql	??	376815006191076AB6A2BAA60108F50B6839401C38A7388E15347B77E2AABD88	376815006191076AB6A2BAA60108F50B6839401C38A7388E15347B77E2AABD88	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/CMakeLists.txt	M	9133484CA3C54FBA704FB9986465C993928A25F0DA5E9CB25A7A9D40733A89E4	0DF4D446CDA2941B4EBBEC0211161B590C838CAA2A94A3BA603B5E449513C9F3	CONTROLLED_THREE_WAY_MAIN_INCLUDE_PRESERVED_B_R2_ADAPTER_TARGET_ADDED
src/modules/PlayerBots/playerbot/aiplayerbot.conf.dist.in	M	A3DD9BF2FBE2C0FE097B8924FA3ABE018E0FB93BFD24DD48977B078FD9CDC515	A3DD9BF2FBE2C0FE097B8924FA3ABE018E0FB93BFD24DD48977B078FD9CDC515	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PersistentActiveRoster.cpp	??	4E913250D7E29110646843AC644D612B65AD6517CE856C6412810D25F5401811	4E913250D7E29110646843AC644D612B65AD6517CE856C6412810D25F5401811	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PersistentActiveRoster.h	??	42A45032B2C483B0A32D4A3722591AFF91B6821885D872A9F6BECE0F3FB6D79E	42A45032B2C483B0A32D4A3722591AFF91B6821885D872A9F6BECE0F3FB6D79E	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PersistentActiveRosterDatabase.cpp	??	945E7FC714994A0B97E7208F8065CEAB94595B1F012719A0A98CA167839F3303	945E7FC714994A0B97E7208F8065CEAB94595B1F012719A0A98CA167839F3303	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PersistentActiveRosterDatabase.h	??	B63D3CF89176AAAD614A5DCEEF42BED247942A9DA7668E5B865839E177205243	B63D3CF89176AAAD614A5DCEEF42BED247942A9DA7668E5B865839E177205243	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PlayerbotAIConfig.cpp	M	623591CC9793CF69B041889C3D81EB29BB062B3DB3BD3AFA0FD02FEF636CBDEF	623591CC9793CF69B041889C3D81EB29BB062B3DB3BD3AFA0FD02FEF636CBDEF	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PlayerbotAIConfig.h	M	A6107FA3E688D610ECEA4B0F36E30569854C602EB6FF7D45DC089381510D47F7	A6107FA3E688D610ECEA4B0F36E30569854C602EB6FF7D45DC089381510D47F7	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PlayerbotMgr.cpp	M	BD3F118BDCE584183AC4BF303431E2EE372CBF4EA3E3D3A7A3E5DC1832633B5B	BD3F118BDCE584183AC4BF303431E2EE372CBF4EA3E3D3A7A3E5DC1832633B5B	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PlayerbotMgr.h	M	41E7EE3ADAB4E1765BD1C07216F9BBCFFDDD6F5DCCDF6162E0CCAC7EC5D29A74	41E7EE3ADAB4E1765BD1C07216F9BBCFFDDD6F5DCCDF6162E0CCAC7EC5D29A74	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp	M	8523C397CB9D4C8CA27F9CE34E9791FB5D8046D59BE5934E920892471AC09384	8523C397CB9D4C8CA27F9CE34E9791FB5D8046D59BE5934E920892471AC09384	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/RandomPlayerbotFactory.cpp	M	17EAB72875F0EF88495E9270D629505C25C85E25A7A3A7E22072BC50F5EDCD33	17EAB72875F0EF88495E9270D629505C25C85E25A7A3A7E22072BC50F5EDCD33	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	M	2794E234E4C4755B120ED75F9D08290A370E4F8E10A0CB417B5587DE55CFDB7A	2794E234E4C4755B120ED75F9D08290A370E4F8E10A0CB417B5587DE55CFDB7A	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.h	M	A57CD48EAED2DB456AF367EFD081A17CBBCF28F0485FA62DCE6E3B233B159429	A57CD48EAED2DB456AF367EFD081A17CBBCF28F0485FA62DCE6E3B233B159429	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/sql/other/20260830230336_ai_playerbot_persistent_active_roster_rollback.sql	??	ADEA15EFB8F03E8F1D0149A97219682324DBBFA99D718EF889091F8FAA977C50	ADEA15EFB8F03E8F1D0149A97219682324DBBFA99D718EF889091F8FAA977C50	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/tests/CMakeLists.txt	??	38E97BDD112AE550A48774DDC1EC4781F7C82CCBCDCBF09B35AE363726624917	D82F6B46FF30FDB7C326763AECB912209D8BE78A179F08F214AE6523F818C6EF	R1_TEST_RUNTIME_PARAMETERIZATION_NO_BINARY_COPY
src/modules/PlayerBots/tests/fixtures/empty-snapshot-v1.txt	??	BA46C4A526EE8BBE3A640492A1167DE0A449D382FE129891BF38BA89E3DF293E	BA46C4A526EE8BBE3A640492A1167DE0A449D382FE129891BF38BA89E3DF293E	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/tests/fixtures/initialize-request-v1.txt	??	F98DB9BB37BDA3B0D405B3749C08C77CAB687B33738AEEF7FD8A34FA6AB5DBEF	F98DB9BB37BDA3B0D405B3749C08C77CAB687B33738AEEF7FD8A34FA6AB5DBEF	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/tests/persistent_active_roster_database_tests.cpp	??	4049ED026AE521766BE017FA2A60A3B7870B1FE124960D9D842C9357874156AA	4049ED026AE521766BE017FA2A60A3B7870B1FE124960D9D842C9357874156AA	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/tests/persistent_active_roster_tests.cpp	??	C0672C631F4672A44B27F628B4D3120735DE92E793DC11EDF280EE4B810BCB51	C0672C631F4672A44B27F628B4D3120735DE92E793DC11EDF280EE4B810BCB51	BYTE_IDENTICAL_SOURCE_COPY
src/modules/PlayerBots/tests/run-tests.ps1	??	2F6DBC534697CF6C9B3EC59AAE97A88A6643CEF1D2A80CC2268D9800A34858E4	DA48556C372067D032011F58622CA7028DF4D3761386C0BC3E0343FDBBADA84A	R1_TEST_RUNTIME_PARAMETERIZATION_NO_BINARY_COPY
src/modules/PlayerBots/tests/schema_fingerprint.sql	??	78C0947F88D5AA8FCC5E013BA7E24FFE020E7C68B58C86D6CF41EC5429918AD5	78C0947F88D5AA8FCC5E013BA7E24FFE020E7C68B58C86D6CF41EC5429918AD5	BYTE_IDENTICAL_SOURCE_COPY
src/shared/Database/Database.cpp	M	A4C86ED79DBE547CC8BAE8F25AC886D9FFD64740F577422FF9AB5D6466319800	A4C86ED79DBE547CC8BAE8F25AC886D9FFD64740F577422FF9AB5D6466319800	BYTE_IDENTICAL_SOURCE_COPY
src/shared/Database/Database.h	M	6E4BB4E8138341A53163FC59025149C21108F20E288006956FA160C050382B22	6E4BB4E8138341A53163FC59025149C21108F20E288006956FA160C050382B22	BYTE_IDENTICAL_SOURCE_COPY
src/shared/Database/DatabaseMysql.cpp	M	E5663FE1E2F04E9202B0E1217EFA7905B2C94A48254D9D77E490F9EBC8E48EC3	E5663FE1E2F04E9202B0E1217EFA7905B2C94A48254D9D77E490F9EBC8E48EC3	BYTE_IDENTICAL_SOURCE_COPY
src/shared/Database/DatabaseMysql.h	M	690D6F77F9B09D7F6520DF8D7C0E8ED95B02BEE381D8B90EAB842A698CEF5B77	690D6F77F9B09D7F6520DF8D7C0E8ED95B02BEE381D8B90EAB842A698CEF5B77	BYTE_IDENTICAL_SOURCE_COPY
