Path	B_R2_Status	Baseline_Blob	Baseline_SHA256	Baseline_Binding	Current_Main_Blob	Current_Main_SHA256	B_R2_Source_Copy_SHA256	Integration_Method	Conflict_Status	Final_Result
CMakeLists.txt	M	96c765b365b76458297366ced8105c46693c72b8	F8346CC3D66EF7D122A508189225E9FF03421482AA78A47F618CAF25705BBE64	PASS	96c765b365b76458297366ced8105c46693c72b8	F8346CC3D66EF7D122A508189225E9FF03421482AA78A47F618CAF25705BBE64	56075510FEA55EBBB7DA7DDB2B3597C4ACC5BB2818B38583AF0BF095E7AC7920	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
sql/character_updates/20260830230336_ai_playerbot_persistent_active_roster.sql	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	376815006191076AB6A2BAA60108F50B6839401C38A7388E15347B77E2AABD88	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/CMakeLists.txt	M	43b500056fe25e0b89e0bc68008fa91765570dc6	94621288993CD7864E9693492260640810F3A7EF9A179610881E4F9B752489FC	PASS	ab27f4bcfa562388088b34bf08ef9d5842640a20	D590DA061544BBF07D43B78264FBC630E8114F0312F12E8E038518E70F4AA6DE	9133484CA3C54FBA704FB9986465C993928A25F0DA5E9CB25A7A9D40733A89E4	CONTROLLED_THREE_WAY	NONE_AFTER_CANONICAL_EOL_NORMALIZATION	READY_FOR_CONTROLLED_APPLY
src/modules/PlayerBots/playerbot/aiplayerbot.conf.dist.in	M	8cc71088d23bbaf5c8a0f2205f38d0224f1c43d5	2A4E63FCB054534B1DF1B09DF57E4D7A34A4428A8866C35671E7A1117E81655F	PASS	8cc71088d23bbaf5c8a0f2205f38d0224f1c43d5	2A4E63FCB054534B1DF1B09DF57E4D7A34A4428A8866C35671E7A1117E81655F	A3DD9BF2FBE2C0FE097B8924FA3ABE018E0FB93BFD24DD48977B078FD9CDC515	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PersistentActiveRoster.cpp	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	4E913250D7E29110646843AC644D612B65AD6517CE856C6412810D25F5401811	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PersistentActiveRoster.h	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	42A45032B2C483B0A32D4A3722591AFF91B6821885D872A9F6BECE0F3FB6D79E	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PersistentActiveRosterDatabase.cpp	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	945E7FC714994A0B97E7208F8065CEAB94595B1F012719A0A98CA167839F3303	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PersistentActiveRosterDatabase.h	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	B63D3CF89176AAAD614A5DCEEF42BED247942A9DA7668E5B865839E177205243	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PlayerbotAIConfig.cpp	M	d4f2dbf35a9a5f4bdfd8f08fa26102a4af5de3de	E4143E269CA9635EB481FDC08E67ACB6F1D8A0DF09DEA2E7E7922A5B064537F0	PASS	d4f2dbf35a9a5f4bdfd8f08fa26102a4af5de3de	E4143E269CA9635EB481FDC08E67ACB6F1D8A0DF09DEA2E7E7922A5B064537F0	623591CC9793CF69B041889C3D81EB29BB062B3DB3BD3AFA0FD02FEF636CBDEF	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PlayerbotAIConfig.h	M	ceff65b41849751359822093e581bde8cdd78bdc	CF6867112AA7D77B082C3C6BB58B1B376FE7432CD14EBF4FB0AEEAF6DC777CFC	PASS	ceff65b41849751359822093e581bde8cdd78bdc	CF6867112AA7D77B082C3C6BB58B1B376FE7432CD14EBF4FB0AEEAF6DC777CFC	A6107FA3E688D610ECEA4B0F36E30569854C602EB6FF7D45DC089381510D47F7	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PlayerbotMgr.cpp	M	51f09926eff81e87fd3968ebc864e0328b6297be	9AB39BBC9824060D52C8F1D2BC834062CA902843E3CC095E533468F4ADA652B5	PASS	51f09926eff81e87fd3968ebc864e0328b6297be	9AB39BBC9824060D52C8F1D2BC834062CA902843E3CC095E533468F4ADA652B5	BD3F118BDCE584183AC4BF303431E2EE372CBF4EA3E3D3A7A3E5DC1832633B5B	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PlayerbotMgr.h	M	b98121521b064f8ef35e7f41040a3300b2c93baf	A8E81F419653E99C5C64F90193EC770C7168410708DA42193A6E75C91BBC3429	PASS	b98121521b064f8ef35e7f41040a3300b2c93baf	A8E81F419653E99C5C64F90193EC770C7168410708DA42193A6E75C91BBC3429	41E7EE3ADAB4E1765BD1C07216F9BBCFFDDD6F5DCCDF6162E0CCAC7EC5D29A74	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp	M	3359ca3d5ae266fdd4bb32018c42933b7386923c	F2A78AF7348EE2B9E6E7E1F710664C2BD77D29D68A4849AD5B62DEA95EEC6CC1	PASS	3359ca3d5ae266fdd4bb32018c42933b7386923c	F2A78AF7348EE2B9E6E7E1F710664C2BD77D29D68A4849AD5B62DEA95EEC6CC1	8523C397CB9D4C8CA27F9CE34E9791FB5D8046D59BE5934E920892471AC09384	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/RandomPlayerbotFactory.cpp	M	b8245b646f1f7226a4874c9677fde4b734436bf8	C7CF1E8A2CA1ABD18BA4200841CE61D3D47172529F8A1D6BFEE1F3D275F01BE6	PASS	b8245b646f1f7226a4874c9677fde4b734436bf8	C7CF1E8A2CA1ABD18BA4200841CE61D3D47172529F8A1D6BFEE1F3D275F01BE6	17EAB72875F0EF88495E9270D629505C25C85E25A7A3A7E22072BC50F5EDCD33	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	M	e6a536f51bd6060a34e77d3f78dcfb0f13dd0991	10EBAF9C5C0EE73C0AF57E39EDB072CA08DF2A8F959C65D78F91A715A2FA6AD5	PASS	e6a536f51bd6060a34e77d3f78dcfb0f13dd0991	10EBAF9C5C0EE73C0AF57E39EDB072CA08DF2A8F959C65D78F91A715A2FA6AD5	2794E234E4C4755B120ED75F9D08290A370E4F8E10A0CB417B5587DE55CFDB7A	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.h	M	4f3f7b1e5ad65ff3812a54156e44e4c84994af71	D262E9E60F7C3FEF008CE63E6BFEEA00B1D4EBFD238432745A4DF01D39A733A5	PASS	4f3f7b1e5ad65ff3812a54156e44e4c84994af71	D262E9E60F7C3FEF008CE63E6BFEEA00B1D4EBFD238432745A4DF01D39A733A5	A57CD48EAED2DB456AF367EFD081A17CBBCF28F0485FA62DCE6E3B233B159429	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/sql/other/20260830230336_ai_playerbot_persistent_active_roster_rollback.sql	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	ADEA15EFB8F03E8F1D0149A97219682324DBBFA99D718EF889091F8FAA977C50	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/tests/CMakeLists.txt	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	38E97BDD112AE550A48774DDC1EC4781F7C82CCBCDCBF09B35AE363726624917	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/tests/fixtures/empty-snapshot-v1.txt	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	BA46C4A526EE8BBE3A640492A1167DE0A449D382FE129891BF38BA89E3DF293E	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/tests/fixtures/initialize-request-v1.txt	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	F98DB9BB37BDA3B0D405B3749C08C77CAB687B33738AEEF7FD8A34FA6AB5DBEF	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/tests/persistent_active_roster_database_tests.cpp	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	4049ED026AE521766BE017FA2A60A3B7870B1FE124960D9D842C9357874156AA	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/tests/persistent_active_roster_tests.cpp	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	C0672C631F4672A44B27F628B4D3120735DE92E793DC11EDF280EE4B810BCB51	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/tests/run-tests.ps1	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	2F6DBC534697CF6C9B3EC59AAE97A88A6643CEF1D2A80CC2268D9800A34858E4	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/modules/PlayerBots/tests/schema_fingerprint.sql	??	NEW	NEW	ABSENT_PASS	MISSING	MISSING	78C0947F88D5AA8FCC5E013BA7E24FFE020E7C68B58C86D6CF41EC5429918AD5	ADD_VALIDATED_SOURCE_COPY	NONE	PRE_INTEGRATION_VERIFIED
src/shared/Database/Database.cpp	M	d2848cad2e75f32ebb006a54e3310219fb2f0728	FAA5EDC57AF3EE7E1947B8226C7329137DF88B834E2611142483F6779A9D76AD	PASS	d2848cad2e75f32ebb006a54e3310219fb2f0728	FAA5EDC57AF3EE7E1947B8226C7329137DF88B834E2611142483F6779A9D76AD	A4C86ED79DBE547CC8BAE8F25AC886D9FFD64740F577422FF9AB5D6466319800	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/shared/Database/Database.h	M	01ef0409c4b6b59a361bb423f9c4d8407604c2e6	26FAE8CF8983BBF7D7FE12D4EEF967F503A987D179866B2A36313C2FF0502E46	PASS	01ef0409c4b6b59a361bb423f9c4d8407604c2e6	26FAE8CF8983BBF7D7FE12D4EEF967F503A987D179866B2A36313C2FF0502E46	6E4BB4E8138341A53163FC59025149C21108F20E288006956FA160C050382B22	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/shared/Database/DatabaseMysql.cpp	M	c68494c7421240a28f99c8673a8a90b7d0c3ce31	1F3F9189E83399E55B35096F80892B4E77E69D56C19A48A13F47B4405D307E6F	PASS	c68494c7421240a28f99c8673a8a90b7d0c3ce31	1F3F9189E83399E55B35096F80892B4E77E69D56C19A48A13F47B4405D307E6F	E5663FE1E2F04E9202B0E1217EFA7905B2C94A48254D9D77E490F9EBC8E48EC3	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
src/shared/Database/DatabaseMysql.h	M	5ef092bb55b3a8baad54e96b173d695b3c2459c8	4026B143A864CBFD3E6DB87FAA9B71366EEA92FF5D562DFEC78617CCE41CEA71	PASS	5ef092bb55b3a8baad54e96b173d695b3c2459c8	4026B143A864CBFD3E6DB87FAA9B71366EEA92FF5D562DFEC78617CCE41CEA71	690D6F77F9B09D7F6520DF8D7C0E8ED95B02BEE381D8B90EAB842A698CEF5B77	APPLY_VALIDATED_DELTA	NONE	PRE_INTEGRATION_VERIFIED
