relative_path	change	bytes	sha256	role
sql/character_updates/20260830230336_ai_playerbot_persistent_active_roster.sql	NEW	3220	ED8064E66DD15CBEE84935D424193B33F9CD77C4438177E478480F4343BBE110	InnoDB version/member/current/audit schema migration
src/modules/PlayerBots/playerbot/aiplayerbot.conf.dist.in	MODIFIED	284066	2F4123975EC0B74F11849F0B29C604712406D2CAF60BE87F41FF0F52D974AE44	default-disabled feature option and fail-closed guidance
src/modules/PlayerBots/playerbot/PersistentActiveRoster.cpp	NEW	23993	B56E70C1C97EBD225F96B23C10F1691D5DDBAE9D1EA9AD9062EC755CB23ED396	canonical serialization, policy, state machine, idempotent operations
src/modules/PlayerBots/playerbot/PersistentActiveRoster.h	NEW	4586	9B57E2F97B353D0AE2C810CCDEBC351851CF189603CDEF13F9B2F8C2567BA103	immutable values, store contract, runtime/status API
src/modules/PlayerBots/playerbot/PersistentActiveRosterDatabase.cpp	NEW	7355	ACAE0E1C58AEFA1E0C3C80F3F50A5AED9BDBB27A299B8C3F247C4254AFCD836D	Character DB load and atomic transaction adapter
src/modules/PlayerBots/playerbot/PersistentActiveRosterDatabase.h	NEW	786	BED2222D0136F89AAEA0C1B5CF4F37B8A9ABAD85F53870080D4AF2AB62AA0828	Character DB store declaration
src/modules/PlayerBots/playerbot/PlayerbotAIConfig.cpp	MODIFIED	69746	9E794AAF31CA0ABE593E5D6142751CE0569ABBD0AD9C937B2A5D3EC46B13753C	load feature option
src/modules/PlayerBots/playerbot/PlayerbotAIConfig.h	MODIFIED	18361	DD242363F0C64E57320CDB12F42E08D4E7AEEF15FA91F938F6E04A73BA509549	feature option value
src/modules/PlayerBots/playerbot/PlayerbotMgr.cpp	MODIFIED	116001	582B86EABD9958FAA20FC3AAC2BA716383636821478CE97DF70993A418169EEB	ordinary logout/disable/delete guards and explicit shutdown bypass
src/modules/PlayerBots/playerbot/PlayerbotMgr.h	MODIFIED	8573	DF161B0E1942FA515D12475A3156E93B92016DEECCC1C35F540E9E715E45343A	explicit logout bypass signature
src/modules/PlayerBots/playerbot/PlayerbotScripts.cpp	MODIFIED	10487	8523C397CB9D4C8CA27F9CE34E9791FB5D8046D59BE5934E920892471AC09384	startup selection between legacy factory and persistent loader
src/modules/PlayerBots/playerbot/RandomPlayerbotFactory.cpp	MODIFIED	52138	17EAB72875F0EF88495E9270D629505C25C85E25A7A3A7E22072BC50F5EDCD33	random factory fail-closed guard
src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.cpp	MODIFIED	186612	C01ECCBF964476AC8093EB047EA7C84190396214DBE7EA5B1CD26D72C7399D98	startup/login/update/degraded/admin and rotation protection integration
src/modules/PlayerBots/playerbot/RandomPlayerbotMgr.h	MODIFIED	15192	872F1005C7DBED76460EAF6B2669D61F7A42D666A47057377FD9F63754A0F864	persistent service integration API and owned state
src/modules/PlayerBots/sql/other/20260830230336_ai_playerbot_persistent_active_roster_rollback.sql	NEW	341	ADEA15EFB8F03E8F1D0149A97219682324DBBFA99D718EF889091F8FAA977C50	isolated/test destructive rollback source
src/modules/PlayerBots/tests/CMakeLists.txt	NEW	643	58D1FA05104A2869EB2C42B1FA97B39F63B3F713728E42F6E06042C5ADB29122	standalone fake/unit test target
src/modules/PlayerBots/tests/fixtures/empty-snapshot-v1.txt	NEW	68	BA46C4A526EE8BBE3A640492A1167DE0A449D382FE129891BF38BA89E3DF293E	canonical empty snapshot vector
src/modules/PlayerBots/tests/fixtures/initialize-request-v1.txt	NEW	418	F98DB9BB37BDA3B0D405B3749C08C77CAB687B33738AEEF7FD8A34FA6AB5DBEF	canonical initialize request vector
src/modules/PlayerBots/tests/persistent_active_roster_tests.cpp	NEW	14858	44ACFB356ACEE69B6425C490E23C208600DAECDFFF72498FAFFF3C79FD3C08CA	contract, policy, state, restart, idempotency and failure tests
src/modules/PlayerBots/tests/run-tests.ps1	NEW	2334	2F6DBC534697CF6C9B3EC59AAE97A88A6643CEF1D2A80CC2268D9800A34858E4	reproducible isolated test runner
