add_row_id	character_guid	add_value	lease_started_unix	lease_seconds	lease_expires_unix	lease_started_utc_server	lease_expires_utc_server	observed_unix	active_add_lease	add_data
44427	22451	1	1788116410	19240	1788135650	2026-08-30 21:00:10	2026-08-31 02:20:50	1788189785	0	NULL
44424	22454	1	1788116410	10878	1788127288	2026-08-30 21:00:10	2026-08-31 00:01:28	1788189785	0	NULL
44432	22468	1	1788116410	18013	1788134423	2026-08-30 21:00:10	2026-08-31 02:00:23	1788189785	0	NULL
44433	22470	1	1788116410	20027	1788136437	2026-08-30 21:00:10	2026-08-31 02:33:57	1788189785	0	NULL
44423	22471	1	1788116410	9177	1788125587	2026-08-30 21:00:10	2026-08-30 23:33:07	1788189785	0	NULL
44392	22500	1	1788116410	9785	1788126195	2026-08-30 21:00:10	2026-08-30 23:43:15	1788189785	0	NULL
44409	23206	1	1788116410	18309	1788134719	2026-08-30 21:00:10	2026-08-31 02:05:19	1788189785	0	NULL
44408	23207	1	1788116410	11569	1788127979	2026-08-30 21:00:10	2026-08-31 00:12:59	1788189785	0	NULL
44410	23286	1	1788116410	21546	1788137956	2026-08-30 21:00:10	2026-08-31 02:59:16	1788189785	0	NULL
44444	23330	1	1788116410	11986	1788128396	2026-08-30 21:00:10	2026-08-31 00:19:56	1788189785	0	NULL
44438	23332	1	1788116410	17964	1788134374	2026-08-30 21:00:10	2026-08-31 01:59:34	1788189785	0	NULL
44440	23333	1	1788116410	10985	1788127395	2026-08-30 21:00:10	2026-08-31 00:03:15	1788189785	0	NULL
44442	23335	1	1788116410	10115	1788126525	2026-08-30 21:00:10	2026-08-30 23:48:45	1788189785	0	NULL
44437	23337	1	1788116410	20831	1788137241	2026-08-30 21:00:10	2026-08-31 02:47:21	1788189785	0	NULL
44459	23654	1	1788116410	21089	1788137499	2026-08-30 21:00:10	2026-08-31 02:51:39	1788189785	0	NULL
44457	23655	1	1788116410	12984	1788129394	2026-08-30 21:00:10	2026-08-31 00:36:34	1788189785	0	NULL
44460	23656	1	1788116410	21458	1788137868	2026-08-30 21:00:10	2026-08-31 02:57:48	1788189785	0	NULL
44461	23657	1	1788116410	12869	1788129279	2026-08-30 21:00:10	2026-08-31 00:34:39	1788189785	0	NULL
44458	23658	1	1788116410	17313	1788133723	2026-08-30 21:00:10	2026-08-31 01:48:43	1788189785	0	NULL
44455	23659	1	1788116410	13921	1788130331	2026-08-30 21:00:10	2026-08-31 00:52:11	1788189785	0	NULL
44454	23660	1	1788116410	11740	1788128150	2026-08-30 21:00:10	2026-08-31 00:15:50	1788189785	0	NULL
44462	23661	1	1788116410	15521	1788131931	2026-08-30 21:00:10	2026-08-31 01:18:51	1788189785	0	NULL
44456	23662	1	1788116410	9583	1788125993	2026-08-30 21:00:10	2026-08-30 23:39:53	1788189785	0	NULL
44485	23700	1	1788116410	14006	1788130416	2026-08-30 21:00:10	2026-08-31 00:53:36	1788189785	0	NULL
44483	23701	1	1788116410	14592	1788131002	2026-08-30 21:00:10	2026-08-31 01:03:22	1788189785	0	NULL
44486	23703	1	1788116410	10268	1788126678	2026-08-30 21:00:10	2026-08-30 23:51:18	1788189785	0	NULL
44488	23705	1	1788116410	18571	1788134981	2026-08-30 21:00:10	2026-08-31 02:09:41	1788189785	0	NULL
44482	23706	1	1788116410	19651	1788136061	2026-08-30 21:00:10	2026-08-31 02:27:41	1788189785	0	NULL
44489	23707	1	1788116410	16216	1788132626	2026-08-30 21:00:10	2026-08-31 01:30:26	1788189785	0	NULL
44406	23823	1	1788116410	12800	1788129210	2026-08-30 21:00:10	2026-08-31 00:33:30	1788189785	0	NULL
44430	23852	1	1788116410	15524	1788131934	2026-08-30 21:00:10	2026-08-31 01:18:54	1788189785	0	NULL
44413	23854	1	1788116410	8603	1788125013	2026-08-30 21:00:10	2026-08-30 23:23:33	1788189785	0	NULL
44414	23855	1	1788116410	11764	1788128174	2026-08-30 21:00:10	2026-08-31 00:16:14	1788189785	0	NULL
44415	23857	1	1788116410	17931	1788134341	2026-08-30 21:00:10	2026-08-31 01:59:01	1788189785	0	NULL
44416	23859	1	1788116410	15296	1788131706	2026-08-30 21:00:10	2026-08-31 01:15:06	1788189785	0	NULL
44397	23987	1	1788116410	8890	1788125300	2026-08-30 21:00:10	2026-08-30 23:28:20	1788189785	0	NULL
44399	23991	1	1788116410	21436	1788137846	2026-08-30 21:00:10	2026-08-31 02:57:26	1788189785	0	NULL
44400	23992	1	1788116410	14179	1788130589	2026-08-30 21:00:10	2026-08-31 00:56:29	1788189785	0	NULL
44401	23993	1	1788116410	10912	1788127322	2026-08-30 21:00:10	2026-08-31 00:02:02	1788189785	0	NULL
44396	23994	1	1788116410	20475	1788136885	2026-08-30 21:00:10	2026-08-31 02:41:25	1788189785	0	NULL
44402	23995	1	1788116410	9779	1788126189	2026-08-30 21:00:10	2026-08-30 23:43:09	1788189785	0	NULL
44468	24104	1	1788116410	9349	1788125759	2026-08-30 21:00:10	2026-08-30 23:35:59	1788189785	0	NULL
44463	24105	1	1788116410	17593	1788134003	2026-08-30 21:00:10	2026-08-31 01:53:23	1788189785	0	NULL
44469	24107	1	1788116410	14502	1788130912	2026-08-30 21:00:10	2026-08-31 01:01:52	1788189785	0	NULL
44466	24108	1	1788116410	10168	1788126578	2026-08-30 21:00:10	2026-08-30 23:49:38	1788189785	0	NULL
44470	24109	1	1788116410	8321	1788124731	2026-08-30 21:00:10	2026-08-30 23:18:51	1788189785	0	NULL
44465	24110	1	1788116410	18434	1788134844	2026-08-30 21:00:10	2026-08-31 02:07:24	1788189785	0	NULL
44471	24111	1	1788116410	4149	1788120559	2026-08-30 21:00:10	2026-08-30 22:09:19	1788189785	0	NULL
44467	24112	1	1788116410	5317	1788121727	2026-08-30 21:00:10	2026-08-30 22:28:47	1788189785	0	NULL
44448	24653	1	1788116410	5605	1788122015	2026-08-30 21:00:10	2026-08-30 22:33:35	1788189785	0	NULL
44449	24654	1	1788116410	7303	1788123713	2026-08-30 21:00:10	2026-08-30 23:01:53	1788189785	0	NULL
44446	24655	1	1788116410	14204	1788130614	2026-08-30 21:00:10	2026-08-31 00:56:54	1788189785	0	NULL
44450	24656	1	1788116410	10725	1788127135	2026-08-30 21:00:10	2026-08-30 23:58:55	1788189785	0	NULL
44451	24657	1	1788116410	10952	1788127362	2026-08-30 21:00:10	2026-08-31 00:02:42	1788189785	0	NULL
44452	24658	1	1788116410	16737	1788133147	2026-08-30 21:00:10	2026-08-31 01:39:07	1788189785	0	NULL
44445	24659	1	1788116410	5594	1788122004	2026-08-30 21:00:10	2026-08-30 22:33:24	1788189785	0	NULL
44447	24660	1	1788116410	13594	1788130004	2026-08-30 21:00:10	2026-08-31 00:46:44	1788189785	0	NULL
44453	24661	1	1788116410	6425	1788122835	2026-08-30 21:00:10	2026-08-30 22:47:15	1788189785	0	NULL
44418	24708	1	1788116410	5613	1788122023	2026-08-30 21:00:10	2026-08-30 22:33:43	1788189785	0	NULL
44417	24709	1	1788116410	19940	1788136350	2026-08-30 21:00:10	2026-08-31 02:32:30	1788189785	0	NULL
44403	24833	1	1788116410	3356	1788119766	2026-08-30 21:00:10	2026-08-30 21:56:06	1788189785	0	NULL
44404	24838	1	1788116410	5356	1788121766	2026-08-30 21:00:10	2026-08-30 22:29:26	1788189785	0	NULL
44405	24839	1	1788116410	9282	1788125692	2026-08-30 21:00:10	2026-08-30 23:34:52	1788189785	0	NULL
44420	24914	1	1788116410	20246	1788136656	2026-08-30 21:00:10	2026-08-31 02:37:36	1788189785	0	NULL
44431	24919	1	1788116410	12977	1788129387	2026-08-30 21:00:10	2026-08-31 00:36:27	1788189785	0	NULL
44490	24968	1	1788116410	7688	1788124098	2026-08-30 21:00:10	2026-08-30 23:08:18	1788189785	0	NULL
44491	24971	1	1788116410	2374	1788118784	2026-08-30 21:00:10	2026-08-30 21:39:44	1788189785	0	NULL
44395	24999	1	1788116410	12423	1788128833	2026-08-30 21:00:10	2026-08-31 00:27:13	1788189785	0	NULL
44393	25001	1	1788116410	15783	1788132193	2026-08-30 21:00:10	2026-08-31 01:23:13	1788189785	0	NULL
44394	25003	1	1788116410	20741	1788137151	2026-08-30 21:00:10	2026-08-31 02:45:51	1788189785	0	NULL
44434	25265	1	1788116410	10678	1788127088	2026-08-30 21:00:10	2026-08-30 23:58:08	1788189785	0	NULL
44422	25266	1	1788116410	15428	1788131838	2026-08-30 21:00:10	2026-08-31 01:17:18	1788189785	0	NULL
44435	25270	1	1788116410	8046	1788124456	2026-08-30 21:00:10	2026-08-30 23:14:16	1788189785	0	NULL
44421	25272	1	1788116410	21304	1788137714	2026-08-30 21:00:10	2026-08-31 02:55:14	1788189785	0	NULL
44475	26633	1	1788116410	9436	1788125846	2026-08-30 21:00:10	2026-08-30 23:37:26	1788189785	0	NULL
44472	26634	1	1788116410	20093	1788136503	2026-08-30 21:00:10	2026-08-31 02:35:03	1788189785	0	NULL
44474	26635	1	1788116410	20897	1788137307	2026-08-30 21:00:10	2026-08-31 02:48:27	1788189785	0	NULL
44476	26636	1	1788116410	9140	1788125550	2026-08-30 21:00:10	2026-08-30 23:32:30	1788189785	0	NULL
44473	26637	1	1788116410	7762	1788124172	2026-08-30 21:00:10	2026-08-30 23:09:32	1788189785	0	NULL
44477	26638	1	1788116410	12003	1788128413	2026-08-30 21:00:10	2026-08-31 00:20:13	1788189785	0	NULL
