TABLE_SCHEMA	TABLE_NAME	INDEX_NAME	NON_UNIQUE	SEQ_IN_INDEX	COLUMN_NAME	COLLATION	CARDINALITY	INDEX_TYPE
tw_char	ai_playerbot_random_bots	bot	1	1	bot	A	244	BTREE
tw_char	ai_playerbot_random_bots	event	1	1	event	A	18	BTREE
tw_char	ai_playerbot_random_bots	idx_owner_bot_event	1	1	owner	A	1	BTREE
tw_char	ai_playerbot_random_bots	idx_owner_bot_event	1	2	bot	A	244	BTREE
tw_char	ai_playerbot_random_bots	idx_owner_bot_event	1	3	event	A	488	BTREE
tw_char	ai_playerbot_random_bots	owner	1	1	owner	A	1	BTREE
tw_char	ai_playerbot_random_bots	PRIMARY	0	1	id	A	488	BTREE
tw_char	characters	deleteDate	1	1	deleteDate	A	4509	BTREE
tw_char	characters	idx_account	1	1	account	A	501	BTREE
tw_char	characters	idx_name	1	1	name	A	4509	BTREE
tw_char	characters	idx_online	1	1	online	A	1	BTREE
tw_char	characters	PRIMARY	0	1	guid	A	4509	BTREE
tw_char	groups	key_leaderGuid	0	1	leaderGuid	A	16	BTREE
tw_char	groups	PRIMARY	0	1	groupId	A	16	BTREE
tw_char	group_member	idx_memberGuid	1	1	memberGuid	A	29	BTREE
tw_char	group_member	PRIMARY	0	1	groupId	A	14	BTREE
tw_char	group_member	PRIMARY	0	2	memberGuid	A	29	BTREE
tw_logon	account	idx_gmlevel	1	1	rank	A	1	BTREE
tw_logon	account	idx_username	0	1	username	A	500	BTREE
tw_logon	account	PRIMARY	0	1	id	A	500	BTREE
tw_logon	account_banned	banid	0	1	banid	A	0	BTREE
tw_logon	account_banned	PRIMARY	0	1	id	A	NULL	BTREE
tw_logon	account_banned	PRIMARY	0	2	bandate	A	0	BTREE
