character_guid	character_name	account_id	account_name	level	class_id	race_id	lease_started_utc	lease_expires_utc	lease_seconds	active_add_lease	character_online	account_active	account_locked	account_banned_flag	banned_now	group_count	group_ids	base_eligible	selection_status
22451	Lille	5	RNDBOT2	6	9	9	2026-08-30 21:00:10	2026-08-31 02:20:50	19240	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
22454	Dranor	5	RNDBOT2	7	9	1	2026-08-30 21:00:10	2026-08-31 00:01:28	10878	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
22468	Armario	6	RNDBOT4	8	2	10	2026-08-30 21:00:10	2026-08-31 02:00:23	18013	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
22470	Evera	6	RNDBOT4	4	3	9	2026-08-30 21:00:10	2026-08-31 02:33:57	20027	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
22471	Faberic	6	RNDBOT4	2	3	10	2026-08-30 21:00:10	2026-08-30 23:33:07	9177	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
22500	Karith	9	RNDBOT7	5	11	4	2026-08-30 21:00:10	2026-08-30 23:43:15	9785	0	0	1	0	0	0	1	15	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23206	Niaminmew	79	RNDBOT86	6	1	6	2026-08-30 21:00:10	2026-08-31 02:05:19	18309	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23207	Sathil	79	RNDBOT86	6	4	4	2026-08-30 21:00:10	2026-08-31 00:12:59	11569	0	0	1	0	0	0	1	15	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23286	Thulaglust	84	RNDBOT95	6	3	2	2026-08-30 21:00:10	2026-08-31 02:59:16	21546	0	0	1	0	0	0	1	13	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23330	Sedo	486	RNDBOT100	4	9	2	2026-08-30 21:00:10	2026-08-31 00:19:56	11986	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23332	Nikolaimon	486	RNDBOT100	6	3	1	2026-08-30 21:00:10	2026-08-31 01:59:34	17964	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23333	Verinette	486	RNDBOT100	7	2	10	2026-08-30 21:00:10	2026-08-31 00:03:15	10985	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23335	Camerlo	486	RNDBOT100	6	2	10	2026-08-30 21:00:10	2026-08-30 23:48:45	10115	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23337	Vesyell	486	RNDBOT100	4	4	4	2026-08-30 21:00:10	2026-08-31 02:47:21	20831	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23654	Babelly	438	RNDBOT136	5	3	10	2026-08-30 21:00:10	2026-08-31 02:51:39	21089	0	0	1	0	0	0	1	17	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23655	Lucito	438	RNDBOT136	5	2	1	2026-08-30 21:00:10	2026-08-31 00:36:34	12984	0	0	1	0	0	0	1	7	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23656	Xandero	438	RNDBOT136	4	3	9	2026-08-30 21:00:10	2026-08-31 02:57:48	21458	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23657	Clette	438	RNDBOT136	6	8	10	2026-08-30 21:00:10	2026-08-31 00:34:39	12869	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23658	Clemenel	438	RNDBOT136	4	9	5	2026-08-30 21:00:10	2026-08-31 01:48:43	17313	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23659	Ederini	438	RNDBOT136	5	9	1	2026-08-30 21:00:10	2026-08-31 00:52:11	13921	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23660	Amkutzi	438	RNDBOT136	5	3	2	2026-08-30 21:00:10	2026-08-31 00:15:50	11740	0	0	1	0	0	0	1	8	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23661	Talanko	438	RNDBOT136	5	3	9	2026-08-30 21:00:10	2026-08-31 01:18:51	15521	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23662	Banodal	438	RNDBOT136	2	3	3	2026-08-30 21:00:10	2026-08-30 23:39:53	9583	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23700	Zoelly	108	RNDBOT141	5	1	9	2026-08-30 21:00:10	2026-08-31 00:53:36	14006	0	0	1	0	0	0	1	10	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23701	Elaedya	108	RNDBOT141	6	1	4	2026-08-30 21:00:10	2026-08-31 01:03:22	14592	0	0	1	0	0	0	1	12	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23703	Ewaldor	108	RNDBOT141	5	4	9	2026-08-30 21:00:10	2026-08-30 23:51:18	10268	0	0	1	0	0	0	1	8	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23705	Terenne	108	RNDBOT141	4	3	9	2026-08-30 21:00:10	2026-08-31 02:09:41	18571	0	0	1	0	0	0	1	9	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23706	Breinleygi	108	RNDBOT141	6	2	3	2026-08-30 21:00:10	2026-08-31 02:27:41	19651	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23707	Festor	108	RNDBOT141	5	5	10	2026-08-30 21:00:10	2026-08-31 01:30:26	16216	0	0	1	0	0	0	1	16	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23823	Daristo	115	RNDBOT155	1	5	10	2026-08-30 21:00:10	2026-08-31 00:33:30	12800	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23852	Tirkeso	379	RNDBOT159	6	3	2	2026-08-30 21:00:10	2026-08-31 01:18:54	15524	0	0	1	0	0	0	1	9	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23854	Oneli	379	RNDBOT159	6	1	9	2026-08-30 21:00:10	2026-08-30 23:23:33	8603	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23855	Lorego	379	RNDBOT159	2	2	10	2026-08-30 21:00:10	2026-08-31 00:16:14	11764	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23857	Micharo	379	RNDBOT159	2	2	10	2026-08-30 21:00:10	2026-08-31 01:59:01	17931	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23859	Estoriano	379	RNDBOT159	6	9	9	2026-08-30 21:00:10	2026-08-31 01:15:06	15296	0	0	1	0	0	0	1	10	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23987	Agatho	125	RNDBOT174	5	1	9	2026-08-30 21:00:10	2026-08-30 23:28:20	8890	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23991	Samy	125	RNDBOT174	5	8	9	2026-08-30 21:00:10	2026-08-31 02:57:26	21436	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23992	Benelina	125	RNDBOT174	5	1	10	2026-08-30 21:00:10	2026-08-31 00:56:29	14179	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23993	Stalander	125	RNDBOT174	6	1	10	2026-08-30 21:00:10	2026-08-31 00:02:02	10912	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23994	Argorouth	125	RNDBOT174	6	5	3	2026-08-30 21:00:10	2026-08-31 02:41:25	20475	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
23995	Blandorion	125	RNDBOT174	2	3	9	2026-08-30 21:00:10	2026-08-30 23:43:09	9779	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24104	Katea	132	RNDBOT187	5	1	9	2026-08-30 21:00:10	2026-08-30 23:35:59	9349	0	0	1	0	0	0	1	13	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24105	Denelario	132	RNDBOT187	5	3	1	2026-08-30 21:00:10	2026-08-31 01:53:23	17593	0	0	1	0	0	0	1	7	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24107	Willio	132	RNDBOT187	5	2	10	2026-08-30 21:00:10	2026-08-31 01:01:52	14502	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24108	Ponnelu	132	RNDBOT187	5	7	8	2026-08-30 21:00:10	2026-08-30 23:49:38	10168	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24109	Kaldric	132	RNDBOT187	1	8	9	2026-08-30 21:00:10	2026-08-30 23:18:51	8321	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24110	Saranu	132	RNDBOT187	1	3	1	2026-08-30 21:00:10	2026-08-31 02:07:24	18434	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24111	Catere	132	RNDBOT187	1	4	9	2026-08-30 21:00:10	2026-08-30 22:09:19	4149	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24112	Guinerina	132	RNDBOT187	1	8	1	2026-08-30 21:00:10	2026-08-30 22:28:47	5317	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24653	Charadal	419	RNDBOT249	1	8	9	2026-08-30 21:00:10	2026-08-30 22:33:35	5605	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24654	Baranna	419	RNDBOT249	1	4	10	2026-08-30 21:00:10	2026-08-30 23:01:53	7303	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24655	Rhyrynn	419	RNDBOT249	1	11	4	2026-08-30 21:00:10	2026-08-31 00:56:54	14204	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24656	Taliara	419	RNDBOT249	1	3	10	2026-08-30 21:00:10	2026-08-30 23:58:55	10725	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24657	Amadam	419	RNDBOT249	1	5	10	2026-08-30 21:00:10	2026-08-31 00:02:42	10952	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24658	Araim	419	RNDBOT249	1	3	10	2026-08-30 21:00:10	2026-08-31 01:39:07	16737	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24659	Tianle	419	RNDBOT249	1	1	6	2026-08-30 21:00:10	2026-08-30 22:33:24	5594	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24660	Mytlynn	419	RNDBOT249	1	11	4	2026-08-30 21:00:10	2026-08-31 00:46:44	13594	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24661	Chelie	419	RNDBOT249	1	1	10	2026-08-30 21:00:10	2026-08-30 22:47:15	6425	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24708	Heleneya	336	RNDBOT255	3	2	10	2026-08-30 21:00:10	2026-08-30 22:33:43	5613	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24709	Junva	336	RNDBOT255	4	3	3	2026-08-30 21:00:10	2026-08-31 02:32:30	19940	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24833	Selodren	483	RNDBOT269	2	1	4	2026-08-30 21:00:10	2026-08-30 21:56:06	3356	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24838	Lethanno	483	RNDBOT269	5	4	9	2026-08-30 21:00:10	2026-08-30 22:29:26	5356	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24839	Sinderion	483	RNDBOT269	2	5	10	2026-08-30 21:00:10	2026-08-30 23:34:52	9282	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24914	Sterrick	342	RNDBOT278	5	3	9	2026-08-30 21:00:10	2026-08-31 02:37:36	20246	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24919	Elaei	342	RNDBOT278	3	11	4	2026-08-30 21:00:10	2026-08-31 00:36:27	12977	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24968	Verielah	183	RNDBOT285	1	5	1	2026-08-30 21:00:10	2026-08-30 23:08:18	7688	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24971	Dithizz	183	RNDBOT285	1	9	7	2026-08-30 21:00:10	2026-08-30 21:39:44	2374	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
24999	Amilda	424	RNDBOT288	5	3	9	2026-08-30 21:00:10	2026-08-31 00:27:13	12423	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
25001	Vizdea	424	RNDBOT288	3	3	8	2026-08-30 21:00:10	2026-08-31 01:23:13	15783	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
25003	Thadaen	424	RNDBOT288	3	11	4	2026-08-30 21:00:10	2026-08-31 02:45:51	20741	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
25265	Berlo	201	RNDBOT318	5	8	5	2026-08-30 21:00:10	2026-08-30 23:58:08	10678	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
25266	Ilianna	201	RNDBOT318	6	9	9	2026-08-30 21:00:10	2026-08-31 01:17:18	15428	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
25270	Sanath	201	RNDBOT318	2	11	4	2026-08-30 21:00:10	2026-08-30 23:14:16	8046	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
25272	Rhandy	201	RNDBOT318	2	2	1	2026-08-30 21:00:10	2026-08-31 02:55:14	21304	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26633	Kallistacy	317	RNDBOT471	1	8	9	2026-08-30 21:00:10	2026-08-30 23:37:26	9436	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26634	Genevere	317	RNDBOT471	1	4	1	2026-08-30 21:00:10	2026-08-31 02:35:03	20093	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26635	Sylaeith	317	RNDBOT471	1	11	4	2026-08-30 21:00:10	2026-08-31 02:48:27	20897	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26636	Adelia	317	RNDBOT471	1	9	9	2026-08-30 21:00:10	2026-08-30 23:32:30	9140	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26637	Ugrurm	317	RNDBOT471	1	1	3	2026-08-30 21:00:10	2026-08-30 23:09:32	7762	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26638	Oberido	317	RNDBOT471	1	3	9	2026-08-30 21:00:10	2026-08-31 00:20:13	12003	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26639	Fedarin	317	RNDBOT471	1	4	9	2026-08-30 21:00:10	2026-08-30 22:45:36	6326	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26640	Amane	317	RNDBOT471	1	1	10	2026-08-30 21:00:10	2026-08-31 00:52:55	13965	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26641	Iristelli	317	RNDBOT471	1	1	9	2026-08-30 21:00:10	2026-08-30 22:17:49	4659	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26670	Lelane	492	RNDBOT475	3	5	4	2026-08-30 21:00:10	2026-08-31 00:23:20	12190	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26674	Gistina	492	RNDBOT475	3	1	5	2026-08-30 21:00:10	2026-08-31 02:11:16	18666	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
26697	Nileah	321	RNDBOT478	1	8	5	2026-08-30 21:00:10	2026-08-30 21:30:11	1801	0	0	1	0	0	0	0	NULL	1	EXPIRED_HISTORY_REQUIRES_EXPLICIT_USER_SELECTION
