character_guid	character_name	account_id	account_name	level	class_id	race_id	character_online	character_last_logout_utc	account_last_login	group_count	group_ids	rndbot_stock	character_active	character_deleted	account_online	account_active	account_locked	account_banned_flag	banned_now	session_status	all_add_rows	active_add_rows	base_eligible	selection_status	eligible
22451	Lille	5	RNDBOT2	6	9	9	0	2026-08-30 23:14:09	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
22454	Dranor	5	RNDBOT2	7	9	1	0	2026-08-30 23:14:00	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
22468	Armario	6	RNDBOT4	8	2	10	0	2026-08-30 23:14:13	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
22470	Evera	6	RNDBOT4	4	3	9	0	2026-08-30 23:14:27	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
22500	Karith	9	RNDBOT7	5	11	4	0	2026-08-30 23:13:42	0000-00-00 00:00:00	1	15	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23206	Niaminmew	79	RNDBOT86	6	1	6	0	2026-08-30 23:14:27	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23207	Sathil	79	RNDBOT86	6	4	4	0	2026-08-30 23:14:28	0000-00-00 00:00:00	1	15	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23286	Thulaglust	84	RNDBOT95	6	3	2	0	2026-08-30 23:14:00	0000-00-00 00:00:00	1	13	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23330	Sedo	486	RNDBOT100	4	9	2	0	2026-08-30 23:14:29	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23332	Nikolaimon	486	RNDBOT100	6	3	1	0	2026-08-30 23:13:39	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23333	Verinette	486	RNDBOT100	7	2	10	0	2026-08-30 23:13:58	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23654	Babelly	438	RNDBOT136	5	3	10	0	2026-08-30 23:14:35	0000-00-00 00:00:00	1	17	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23655	Lucito	438	RNDBOT136	5	2	1	0	2026-08-30 23:14:08	0000-00-00 00:00:00	1	7	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23656	Xandero	438	RNDBOT136	4	3	9	0	2026-08-30 23:13:56	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23700	Zoelly	108	RNDBOT141	5	1	9	0	2026-08-30 23:13:47	0000-00-00 00:00:00	1	10	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23701	Elaedya	108	RNDBOT141	6	1	4	0	2026-08-30 23:13:51	0000-00-00 00:00:00	1	12	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23703	Ewaldor	108	RNDBOT141	5	4	9	0	2026-08-30 23:13:40	0000-00-00 00:00:00	1	8	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23823	Daristo	115	RNDBOT155	1	5	10	0	2026-08-30 23:14:13	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23852	Tirkeso	379	RNDBOT159	6	3	2	0	2026-08-30 23:14:25	0000-00-00 00:00:00	1	9	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23854	Oneli	379	RNDBOT159	6	1	9	0	2026-08-30 23:14:26	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23855	Lorego	379	RNDBOT159	2	2	10	0	2026-08-30 23:13:48	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23987	Agatho	125	RNDBOT174	5	1	9	0	2026-08-30 23:14:05	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23991	Samy	125	RNDBOT174	5	8	9	0	2026-08-30 23:14:15	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
23992	Benelina	125	RNDBOT174	5	1	10	0	2026-08-30 23:13:55	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24104	Katea	132	RNDBOT187	5	1	9	0	2026-08-30 23:14:11	0000-00-00 00:00:00	1	13	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24105	Denelario	132	RNDBOT187	5	3	1	0	2026-08-30 23:14:00	0000-00-00 00:00:00	1	7	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24107	Willio	132	RNDBOT187	5	2	10	0	2026-08-30 23:13:55	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24653	Charadal	419	RNDBOT249	1	8	9	0	2026-08-30 21:02:36	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
24654	Baranna	419	RNDBOT249	1	4	10	0	2026-08-30 21:03:14	0000-00-00 00:00:00	0	NULL	1	1	0	1	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	1	0	1	REQUIRES_EXPLICIT_USER_SELECTION	1
