character_guid	character_name	account_id	account_name	level	class_id	race_id	character_online	character_last_logout_utc	account_last_login	group_count	group_ids	rndbot_stock	character_active	character_deleted	account_online	account_active	account_locked	account_banned_flag	banned_now	session_status	all_add_rows	active_add_rows	base_eligible	selection_status
22430	Baronico	4	RNDBOT0	1	5	10	0	2026-08-29 00:14:34	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22431	Kengraeme	4	RNDBOT0	1	5	3	0	2026-08-29 00:14:41	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22432	Keranka	4	RNDBOT0	1	2	1	0	2026-08-29 00:14:35	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22433	Gehka	4	RNDBOT0	1	3	2	0	2026-08-29 00:14:50	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22434	Bargarm	4	RNDBOT0	1	1	3	0	2026-08-29 00:14:36	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22435	Anderico	4	RNDBOT0	1	2	1	0	2026-08-29 00:15:00	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22436	Zandemar	4	RNDBOT0	1	4	9	0	2026-08-29 00:14:33	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22437	Layla	4	RNDBOT0	1	1	9	0	2026-08-29 00:14:50	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22438	Saenorion	4	RNDBOT0	1	4	4	0	2026-08-29 00:14:57	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22439	Grancy	104	RNDBOT1	1	1	9	0	2026-08-29 00:14:58	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22440	Eranik	104	RNDBOT1	1	8	9	0	2026-08-29 00:14:54	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22441	Atzesh	104	RNDBOT1	1	3	2	0	2026-08-29 00:14:36	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22442	Evangelina	104	RNDBOT1	1	9	9	0	2026-08-29 00:14:38	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22443	Krogun	104	RNDBOT1	1	1	2	0	2026-08-29 00:14:31	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22444	Bianneia	104	RNDBOT1	1	1	10	0	2026-08-29 00:14:59	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22445	Pedanklish	104	RNDBOT1	1	9	7	0	2026-08-29 00:14:38	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22446	Edelanne	104	RNDBOT1	1	8	1	0	2026-08-29 00:14:32	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22447	Rolanon	104	RNDBOT1	1	3	9	0	2026-08-29 00:14:34	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
22448	Molanne	5	RNDBOT2	5	1	1	0	2026-08-30 22:05:15	0000-00-00 00:00:00	0	NULL	1	1	0	0	1	0	0	0	NO_REGISTERED_SESSION_SERVER_STOPPED	0	0	1	REQUIRES_EXPLICIT_USER_SELECTION
