current_schema_and_table	defining_sql	runtime_read_write_references	tooling_and_test_references	owner_per_adr_0021	target_object	action	copy_and_verification_strategy	cutover_dependency	rollback_impact
tw_char.ai_playerbot_arena_team_names	modules/mod-playerbots/data/sql/characters/ai_playerbot_names.sql	modules/mod-playerbots/src/playerbot/RandomPlayerbotFactory.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_arena_team_names	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; names are static seed data with independent semantics	Separate name-store ownership and runtime cutover review	None in this change
tw_char.ai_playerbot_custom_strategy	modules/mod-playerbots/data/sql/characters/ai_playerbot_custom_strategy.sql	modules/mod-playerbots/src/playerbot/strategy/CustomStrategy.cpp; modules/mod-playerbots/src/playerbot/strategy/actions/CustomStrategyEditAction.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_custom_strategy	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; user-authored strategy payload needs a separate lossless contract	Separate strategy-store cutover review	None in this change
tw_char.ai_playerbot_db_store	modules/mod-playerbots/data/sql/characters/ai_playerbot_db_store.sql	modules/mod-playerbots/src/playerbot/PlayerbotAIConfig.cpp; modules/mod-playerbots/src/playerbot/PlayerbotDbStore.cpp; modules/mod-playerbots/src/playerbot/strategy/actions/ResetAiAction.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_db_store	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; generic key/value persistence requires an independent schema and write audit	Separate store cutover review	None in this change
tw_char.ai_playerbot_equip_cache	modules/mod-playerbots/data/sql/characters/ai_playerbot_cache.sql	modules/mod-playerbots/src/playerbot/RandomItemMgr.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_equip_cache	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; derived cache data has independent rebuild semantics	Separate cache ownership and rebuild decision	None in this change
tw_char.ai_playerbot_guild_names	modules/mod-playerbots/data/sql/characters/ai_playerbot_names.sql	modules/mod-playerbots/src/playerbot/RandomPlayerbotFactory.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_guild_names	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; names are static seed data with independent semantics	Separate name-store ownership and runtime cutover review	None in this change
tw_char.ai_playerbot_item_info_cache	modules/mod-playerbots/data/sql/characters/ai_playerbot_cache.sql	modules/mod-playerbots/src/playerbot/RandomItemMgr.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_item_info_cache	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; derived cache data has independent rebuild semantics	Separate cache ownership and rebuild decision	None in this change
tw_char.ai_playerbot_names	modules/mod-playerbots/data/sql/characters/ai_playerbot_names.sql	modules/mod-playerbots/src/playerbot/RandomPlayerbotFactory.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_names	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; names are static seed data with independent semantics	Separate name-store ownership and runtime cutover review	None in this change
tw_char.ai_playerbot_random_bots	modules/mod-playerbots/data/sql/characters/ai_playerbot_random_bots.sql	modules/mod-playerbots/src/playerbot/RandomPlayerbotMgr.cpp; modules/mod-playerbots/src/playerbot/RandomPlayerbotFactory.cpp	modules/mod-playerbots/data/sql/other/delete_all_randombots.sql; modules/mod-playerbots/data/sql/other/delete_randombots.sql; modules/mod-playerbots/data/sql/other/reset_randombots.sql; sql/character_updates/20260708055500_ai_playerbot_random_bots_index.sql; test/smoke/10-migrations.sh; test/smoke/15-schema-effects.sh	mod-playerbots	cv_bots.ai_playerbot_random_bots	MOVE_NOW	Fail-closed eight-column copy; count equality; bidirectional payload anti-joins; ordered length-tagged fingerprints; logical rowset SHA-256	cv_bots schema/grant foundation and strict module migration stream	Runtime can be reverted to the read-only legacy source during a separately reviewed rollback window; source is untouched
tw_char.ai_playerbot_rarity_cache	modules/mod-playerbots/data/sql/characters/ai_playerbot_cache.sql	modules/mod-playerbots/src/playerbot/RandomItemMgr.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_rarity_cache	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; derived cache data has independent rebuild semantics	Separate cache ownership and rebuild decision	None in this change
tw_char.ai_playerbot_rnditem_cache	modules/mod-playerbots/data/sql/characters/ai_playerbot_cache.sql	modules/mod-playerbots/src/playerbot/RandomItemMgr.cpp	modules/mod-playerbots/data/sql/other/database_merge_classic.sql; modules/mod-playerbots/data/sql/other/database_merge_tbc.sql; modules/mod-playerbots/data/sql/other/database_merge_wotlk.sql	mod-playerbots	cv_bots.ai_playerbot_rnditem_cache	OUT_OF_SCOPE_WITH_REASON	No copy in issue #119; derived cache data has independent rebuild semantics	Separate cache ownership and rebuild decision	None in this change
